id,count,mean,std,min,25%,50%,75%,max
0,28.0,27.535714285714285,32.71140037182319,7.0,7.0,7.0,42.0,120.0
1,46.0,39.73913043478261,35.37697605481012,7.0,14.0,28.0,56.0,133.0
2,47.0,40.38297872340426,40.12781383415041,7.0,14.0,28.0,45.5,196.0
3,53.0,39.37735849056604,44.88199331198955,7.0,7.0,14.0,56.0,196.0
4,29.0,37.206896551724135,42.240281477641034,7.0,7.0,14.0,63.0,161.0
5,52.0,30.98076923076923,27.729428258684752,7.0,14.0,21.0,42.0,120.0
6,45.0,25.066666666666666,31.21290525640724,7.0,7.0,7.0,28.0,126.0
7,41.0,28.365853658536587,33.5639360754672,7.0,7.0,7.0,42.0,133.0
8,39.0,49.02564102564103,38.690055283854875,7.0,21.0,35.0,66.5,133.0
9,36.0,40.666666666666664,54.07772184550677,7.0,7.0,17.5,49.0,210.0
10,33.0,15.93939393939394,24.46162734000361,7.0,7.0,7.0,14.0,120.0
11,24.0,19.291666666666668,25.221590417505514,7.0,7.0,7.0,15.75,120.0
12,21.0,45.38095238095238,50.7744780283128,7.0,7.0,28.0,63.0,217.0
13,36.0,20.833333333333332,22.728836309850973,7.0,7.0,14.0,22.75,120.0
14,50.0,37.54,55.361229342254624,7.0,8.75,21.0,47.25,364.0
15,41.0,26.317073170731707,35.0238768730635,7.0,7.0,7.0,35.0,161.0
16,45.0,40.31111111111111,44.08969278755535,7.0,7.0,21.0,56.0,175.0
17,49.0,44.59183673469388,85.34096280200258,7.0,14.0,28.0,49.0,595.0
18,41.0,30.414634146341463,29.467758321389244,7.0,7.0,21.0,35.0,126.0
19,42.0,25.69047619047619,26.893183554925802,7.0,7.0,14.0,33.25,120.0
20,32.0,27.8125,50.832068554686884,7.0,7.0,7.0,21.0,273.0
21,32.0,41.8125,76.95010427794817,7.0,12.25,17.5,38.5,427.0
22,38.0,34.10526315789474,59.63981504932812,7.0,7.0,10.5,28.0,294.0
23,45.0,51.51111111111111,62.173372779898976,7.0,14.0,28.0,56.0,343.0
24,39.0,31.435897435897434,28.577498391304186,7.0,7.0,21.0,42.0,120.0
25,19.0,33.94736842105263,44.88314913220096,7.0,7.0,21.0,28.0,182.0
26,44.0,47.90909090909091,56.10986655424988,7.0,14.0,31.5,64.75,329.0
27,51.0,37.627450980392155,38.305592690526915,7.0,14.0,28.0,49.0,231.0
28,45.0,29.11111111111111,30.795677251421786,7.0,7.0,14.0,35.0,126.0
29,44.0,27.545454545454547,45.52252422061512,7.0,7.0,14.0,22.75,273.0
30,35.0,39.22857142857143,39.00534330989396,7.0,7.0,21.0,56.0,133.0
31,28.0,38.535714285714285,62.06118972305696,7.0,7.0,7.0,33.25,224.0
32,32.0,32.1875,40.178181769743894,7.0,7.0,14.0,43.75,147.0
33,9.0,33.55555555555556,37.45701239791793,7.0,7.0,21.0,42.0,120.0
34,47.0,32.93617021276596,35.98091538538726,7.0,7.0,21.0,42.0,175.0
35,27.0,23.37037037037037,25.010994733313936,7.0,7.0,14.0,31.5,120.0
36,26.0,28.307692307692307,33.59496299241209,7.0,7.0,14.0,35.0,148.0
37,40.0,42.2,41.83925282462722,7.0,12.25,28.0,50.75,148.0
38,43.0,45.76744186046512,43.83673020115303,7.0,17.5,28.0,56.0,175.0
39,51.0,42.568627450980394,46.04183093751194,7.0,7.0,21.0,66.5,182.0
40,27.0,39.7037037037037,40.720260327502835,7.0,7.0,28.0,52.5,168.0
41,48.0,33.854166666666664,33.77018046520454,7.0,14.0,21.0,35.0,162.0
42,23.0,30.782608695652176,34.78891741206613,7.0,7.0,7.0,42.0,127.0
43,53.0,29.339622641509433,34.79276195518612,7.0,7.0,14.0,35.0,147.0
44,32.0,41.15625,53.027752548289094,7.0,7.0,17.5,47.25,238.0
45,39.0,28.025641025641026,29.804174186183683,7.0,7.0,14.0,38.5,148.0
46,17.0,18.176470588235293,29.93166236219943,7.0,7.0,7.0,14.0,127.0
47,43.0,18.58139534883721,21.39785543119365,7.0,7.0,14.0,21.0,134.0
48,20.0,45.2,68.59614842647777,7.0,7.0,14.0,43.75,294.0
49,50.0,23.26,24.235923749673745,7.0,7.0,14.0,26.25,134.0
50,44.0,42.02272727272727,59.912916896055535,7.0,14.0,28.0,49.0,371.0
51,40.0,24.875,34.98291707647444,7.0,7.0,7.0,21.0,147.0
52,37.0,33.513513513513516,41.65707997822594,7.0,7.0,14.0,42.0,196.0
53,41.0,44.41463414634146,53.823310753685575,7.0,14.0,28.0,42.0,280.0
54,44.0,39.79545454545455,64.23669151659264,7.0,14.0,28.0,35.0,406.0
55,51.0,41.333333333333336,40.44090338588724,7.0,14.0,28.0,45.5,231.0
56,37.0,25.18918918918919,31.433207703741378,7.0,7.0,14.0,21.0,148.0
57,47.0,39.638297872340424,81.84992245405874,7.0,7.0,21.0,35.0,546.0
58,22.0,52.54545454545455,62.219065576494486,7.0,14.0,24.5,49.0,217.0
59,45.0,49.8,59.299164488978334,7.0,14.0,28.0,56.0,322.0
60,40.0,30.475,31.78048707893507,7.0,7.0,21.0,35.0,148.0
61,19.0,28.05263157894737,32.163598617433834,7.0,7.0,14.0,35.0,127.0
62,41.0,40.146341463414636,50.5002777099343,7.0,14.0,28.0,42.0,294.0
63,45.0,41.24444444444445,39.52453527732982,7.0,7.0,21.0,70.0,148.0
64,40.0,33.625,46.54343849208679,7.0,7.0,14.0,29.75,224.0
65,44.0,25.318181818181817,31.543084398351443,7.0,7.0,14.0,22.75,141.0
66,37.0,37.108108108108105,37.91128810480812,7.0,14.0,21.0,49.0,141.0
67,26.0,41.23076923076923,60.97167059696344,7.0,7.0,10.5,50.75,224.0
68,32.0,35.90625,39.843532178405226,7.0,7.0,24.5,42.0,155.0
69,12.0,29.25,38.55132352403151,7.0,7.0,17.5,21.0,127.0
70,40.0,36.25,33.62748418046899,7.0,14.0,28.0,42.0,141.0
71,26.0,28.846153846153847,31.208578702263654,7.0,7.0,17.5,40.25,134.0
72,30.0,25.7,31.094017608448134,7.0,7.0,14.0,33.25,162.0
73,41.0,39.292682926829265,40.64310759676173,7.0,14.0,28.0,42.0,168.0
74,33.0,38.0,51.40038910358559,7.0,7.0,14.0,35.0,175.0
75,47.0,46.787234042553195,44.737367014617156,7.0,14.0,28.0,63.0,168.0
76,28.0,40.285714285714285,43.16107397735032,7.0,12.25,28.0,49.0,175.0
77,46.0,41.26086956521739,37.742657730482975,7.0,21.0,28.0,49.0,183.0
78,27.0,29.333333333333332,38.60749229797841,7.0,7.0,14.0,28.0,148.0
79,51.0,47.23529411764706,49.70979309363261,7.0,14.0,21.0,63.0,196.0
80,35.0,41.82857142857143,57.0616208272125,7.0,7.0,14.0,56.0,245.0
81,39.0,33.76923076923077,48.48736218333573,7.0,7.0,14.0,35.0,252.0
82,16.0,18.875,33.832676512507845,7.0,7.0,7.0,8.75,141.0
83,42.0,21.023809523809526,27.258910465528736,7.0,7.0,14.0,21.0,162.0
84,23.0,40.82608695652174,50.01422722487258,7.0,7.0,21.0,38.5,183.0
85,35.0,27.228571428571428,37.154752458495814,7.0,7.0,14.0,28.0,183.0
86,36.0,40.27777777777778,45.7600019425019,7.0,7.0,14.0,54.25,162.0
87,38.0,27.473684210526315,38.23592257614471,7.0,7.0,7.0,26.25,155.0
88,41.0,33.48780487804878,43.92215952752068,7.0,7.0,14.0,42.0,210.0
89,42.0,46.523809523809526,48.16244772122177,7.0,14.0,28.0,56.0,176.0
90,48.0,40.416666666666664,65.89670618873771,7.0,14.0,21.0,35.0,420.0
91,49.0,43.59183673469388,40.986744995255755,7.0,14.0,35.0,56.0,210.0
92,32.0,32.40625,55.64278892792326,7.0,7.0,14.0,35.0,287.0
93,40.0,51.65,91.8715798247052,7.0,14.0,31.5,50.75,574.0
94,27.0,43.592592592592595,49.98558196678723,7.0,14.0,28.0,49.0,169.0
95,46.0,51.0,60.47515559669478,7.0,14.0,28.0,70.0,329.0
96,34.0,39.14705882352941,43.07859790137035,7.0,7.0,24.5,49.0,176.0
97,21.0,36.38095238095238,48.23118927672859,7.0,7.0,14.0,35.0,161.0
98,40.0,46.575,80.90288179076987,7.0,12.25,24.5,42.0,490.0
99,44.0,57.93181818181818,53.770571067233476,7.0,12.25,42.0,82.25,203.0
100,40.0,33.8,34.75275307301345,7.0,7.0,24.5,49.0,169.0
101,41.0,34.170731707317074,39.44990648849778,7.0,7.0,21.0,35.0,183.0
102,35.0,41.82857142857143,54.40938809254375,7.0,10.5,14.0,56.0,252.0
103,25.0,43.44,65.02248329103813,7.0,7.0,7.0,42.0,245.0
104,39.0,34.84615384615385,42.53391121492199,7.0,7.0,14.0,38.5,183.0
105,15.0,33.2,50.11586575127681,7.0,7.0,14.0,28.0,161.0
106,40.0,39.4,58.01582454327352,7.0,7.0,17.5,36.75,245.0
107,24.0,34.166666666666664,41.06481268165862,7.0,7.0,14.0,56.0,155.0
108,35.0,23.228571428571428,31.84067479543377,7.0,7.0,14.0,21.0,169.0
109,39.0,44.8974358974359,51.0823869490283,7.0,10.5,21.0,56.0,197.0
110,42.0,49.523809523809526,59.76018663863748,7.0,14.0,28.0,54.25,281.0
111,49.0,46.734693877551024,49.56257640187641,7.0,7.0,28.0,70.0,183.0
112,31.0,46.32258064516129,92.81572679123374,7.0,10.5,21.0,42.0,512.0
113,48.0,37.9375,38.77507767801594,7.0,14.0,28.0,43.75,197.0
114,28.0,29.035714285714285,39.10998938687238,7.0,7.0,14.0,29.75,162.0
115,45.0,39.68888888888889,46.65629754931376,7.0,7.0,21.0,56.0,204.0
116,33.0,42.24242424242424,61.547253341959895,7.0,7.0,21.0,42.0,245.0
117,35.0,43.42857142857143,50.365304183993736,7.0,14.0,21.0,45.5,204.0
118,12.0,25.75,43.352938455510404,7.0,7.0,7.0,15.75,155.0
119,38.0,19.36842105263158,31.64364165040118,7.0,7.0,7.0,21.0,197.0
