id,count,mean,std,min,25%,50%,75%,max
0,25.0,29.72,28.798900441972897,7.0,7.0,21.0,35.0,120.0
1,50.0,43.56,29.14927100289131,7.0,21.0,35.0,56.0,133.0
2,45.0,37.666666666666664,38.106310620301585,7.0,14.0,21.0,42.0,168.0
3,54.0,38.907407407407405,41.56434816564144,7.0,14.0,28.0,42.0,175.0
4,31.0,29.161290322580644,34.337634139229365,7.0,7.0,21.0,35.0,161.0
5,46.0,23.76086956521739,22.83485131947674,7.0,7.0,14.0,35.0,120.0
6,23.0,26.82608695652174,28.04323313922961,7.0,7.0,21.0,35.0,120.0
7,54.0,33.851851851851855,35.367828578988735,7.0,7.0,17.5,54.25,147.0
8,42.0,40.69047619047619,44.563732435111405,7.0,14.0,28.0,42.0,189.0
9,42.0,39.857142857142854,38.31294210969768,7.0,14.0,28.0,49.0,147.0
10,6.0,27.0,45.6464675522652,7.0,7.0,7.0,12.25,120.0
11,44.0,14.818181818181818,20.274021327881222,7.0,7.0,7.0,14.0,120.0
12,38.0,26.736842105263158,33.462107824051515,7.0,7.0,14.0,28.0,161.0
13,57.0,21.63157894736842,24.652319203378475,7.0,7.0,14.0,28.0,120.0
14,50.0,31.94,37.49525684288996,7.0,14.0,21.0,42.0,224.0
15,21.0,37.714285714285715,46.598436515770416,7.0,7.0,14.0,49.0,154.0
16,43.0,33.72093023255814,36.56522260120905,7.0,7.0,14.0,45.5,140.0
17,35.0,35.42857142857143,41.919590895431405,7.0,7.0,14.0,45.5,182.0
18,48.0,29.625,27.703310348319732,7.0,7.0,21.0,42.0,120.0
19,42.0,20.857142857142858,21.946244112877743,7.0,7.0,14.0,28.0,120.0
20,29.0,26.82758620689655,42.495435860401734,7.0,7.0,7.0,28.0,203.0
21,38.0,46.26315789473684,71.20115555186125,7.0,14.0,24.5,56.0,434.0
22,25.0,13.2,22.546248764114473,7.0,7.0,7.0,7.0,120.0
23,41.0,32.63414634146341,32.39657088146906,7.0,7.0,21.0,42.0,126.0
24,37.0,32.189189189189186,40.724574779744366,7.0,7.0,14.0,42.0,182.0
25,20.0,22.1,27.74678739108937,7.0,7.0,7.0,22.75,120.0
26,45.0,43.888888888888886,45.73054589968097,7.0,21.0,28.0,56.0,217.0
27,54.0,33.333333333333336,30.93938077949958,7.0,14.0,21.0,47.25,133.0
28,44.0,28.022727272727273,34.121866845765766,7.0,7.0,7.0,36.75,120.0
29,43.0,23.13953488372093,22.475999257778486,7.0,7.0,14.0,28.0,120.0
30,36.0,36.77777777777778,38.56135082926657,7.0,7.0,17.5,56.0,147.0
31,27.0,36.333333333333336,59.89413737844207,7.0,7.0,7.0,38.5,266.0
32,31.0,37.74193548387097,44.87090203530976,7.0,7.0,21.0,42.0,189.0
33,12.0,21.083333333333332,32.28694735797997,7.0,7.0,7.0,15.75,120.0
34,40.0,41.5,42.916735125661106,7.0,12.25,31.5,45.5,203.0
35,25.0,21.6,24.49319633422038,7.0,7.0,14.0,28.0,120.0
36,31.0,24.870967741935484,29.66225652855142,7.0,7.0,14.0,28.0,148.0
37,45.0,39.22222222222222,33.12365873023039,7.0,21.0,28.0,42.0,148.0
38,42.0,47.19047619047619,43.01516357435698,7.0,21.0,28.0,56.0,168.0
39,53.0,42.54716981132076,43.22862568223116,7.0,14.0,28.0,56.0,182.0
40,27.0,37.629629629629626,38.64647276983836,7.0,7.0,21.0,59.5,141.0
41,51.0,27.19607843137255,25.52412161688871,7.0,14.0,21.0,35.0,162.0
42,40.0,22.075,23.81379421410614,7.0,7.0,14.0,28.0,127.0
43,51.0,30.764705882352942,35.564357570631934,7.0,7.0,14.0,49.0,168.0
44,36.0,33.666666666666664,43.9089968002003,7.0,7.0,17.5,42.0,210.0
45,37.0,36.16216216216216,35.2242920546425,7.0,14.0,21.0,42.0,148.0
46,28.0,14.035714285714286,23.66507372238071,7.0,7.0,7.0,7.0,127.0
47,38.0,18.63157894736842,26.57414009453305,7.0,7.0,7.0,21.0,134.0
48,22.0,20.09090909090909,27.547204664874528,7.0,7.0,7.0,21.0,134.0
49,32.0,28.6875,35.44867939666783,7.0,7.0,14.0,35.0,134.0
50,47.0,38.8936170212766,40.99588210633143,7.0,14.0,28.0,49.0,231.0
51,43.0,26.069767441860463,37.020840558514,7.0,7.0,7.0,28.0,161.0
52,27.0,31.14814814814815,30.55600621268289,7.0,14.0,21.0,42.0,148.0
53,39.0,34.48717948717949,35.56304394265115,7.0,7.0,21.0,38.5,134.0
54,44.0,32.31818181818182,34.29744903882539,7.0,7.0,17.5,43.75,147.0
55,50.0,33.76,27.203361136867947,7.0,14.0,28.0,42.0,148.0
56,41.0,25.975609756097562,39.58944796588989,7.0,7.0,7.0,28.0,210.0
57,38.0,47.0,66.92634111570074,7.0,15.75,28.0,49.0,392.0
58,36.0,20.63888888888889,23.56892964146748,7.0,7.0,14.0,21.0,141.0
59,49.0,46.59183673469388,61.64343651441021,7.0,14.0,28.0,56.0,392.0
60,37.0,36.16216216216216,39.55622827312021,7.0,7.0,21.0,42.0,175.0
61,17.0,23.11764705882353,32.82126283551026,7.0,7.0,7.0,21.0,127.0
62,42.0,43.857142857142854,42.42156114730121,7.0,21.0,31.5,49.0,210.0
63,47.0,44.702127659574465,37.79919190165487,7.0,21.0,28.0,56.0,148.0
64,45.0,23.511111111111113,28.483346188624157,7.0,7.0,7.0,21.0,127.0
65,40.0,25.925,26.408416976022764,7.0,7.0,14.0,29.75,141.0
66,38.0,44.60526315789474,43.55955195069266,7.0,8.75,28.0,80.5,147.0
67,24.0,32.416666666666664,36.7528959718665,7.0,7.0,17.5,42.0,141.0
68,41.0,30.75609756097561,36.82171946542209,7.0,7.0,21.0,35.0,161.0
69,16.0,18.875,29.357281890529308,7.0,7.0,10.5,15.75,127.0
70,42.0,46.19047619047619,45.443740664929535,7.0,14.0,35.0,56.0,217.0
71,25.0,19.92,25.640007800310826,7.0,7.0,14.0,21.0,134.0
72,27.0,26.22222222222222,32.33280464806999,7.0,7.0,14.0,28.0,162.0
73,44.0,41.22727272727273,36.18548060123694,7.0,14.0,35.0,42.0,155.0
74,30.0,34.8,40.0072407239593,7.0,7.0,21.0,40.25,190.0
75,49.0,41.30612244897959,43.00494355382911,7.0,14.0,28.0,49.0,196.0
76,24.0,44.958333333333336,52.02798508383788,7.0,7.0,17.5,77.0,162.0
77,49.0,38.734693877551024,31.988132897349654,7.0,21.0,35.0,49.0,190.0
78,39.0,28.384615384615383,27.73997247429229,7.0,14.0,14.0,38.5,148.0
79,51.0,44.76470588235294,66.80556510809384,7.0,7.0,21.0,45.5,329.0
80,36.0,34.25,43.568910934288915,7.0,7.0,17.5,36.75,190.0
81,36.0,27.63888888888889,33.28504836175613,7.0,7.0,14.0,29.75,162.0
82,22.0,24.545454545454547,33.06375842538354,7.0,7.0,14.0,21.0,148.0
83,38.0,17.710526315789473,26.117104155040515,7.0,7.0,7.0,14.0,155.0
84,23.0,29.565217391304348,38.33681601868618,7.0,7.0,14.0,38.5,176.0
85,42.0,25.19047619047619,35.29336156417265,7.0,7.0,7.0,28.0,176.0
86,40.0,37.3,45.36303702581131,7.0,7.0,21.0,38.5,210.0
87,37.0,26.7027027027027,33.95165260653323,7.0,7.0,14.0,35.0,155.0
88,38.0,33.55263157894737,46.49132285702067,7.0,7.0,21.0,35.0,245.0
89,36.0,40.666666666666664,37.92097045171708,7.0,14.0,28.0,57.75,176.0
90,44.0,38.04545454545455,42.54461655089868,7.0,14.0,21.0,36.75,176.0
91,46.0,36.69565217391305,32.45706193673755,7.0,14.0,24.5,49.0,162.0
92,37.0,28.972972972972972,39.45566181486821,7.0,7.0,14.0,28.0,175.0
93,35.0,38.82857142857143,46.21909823889693,7.0,7.0,14.0,56.0,189.0
94,32.0,28.25,28.23632983552652,7.0,14.0,21.0,35.0,162.0
95,49.0,45.02040816326531,60.0796311142964,7.0,7.0,28.0,49.0,336.0
96,37.0,35.972972972972975,44.6090962862001,7.0,7.0,14.0,42.0,182.0
97,21.0,24.38095238095238,34.14890362877876,7.0,7.0,7.0,21.0,141.0
98,39.0,45.43589743589744,45.8486037621275,7.0,17.5,28.0,59.5,224.0
99,49.0,44.30612244897959,44.38524721197379,7.0,14.0,35.0,49.0,210.0
100,35.0,42.42857142857143,46.50634726716831,7.0,14.0,21.0,49.0,189.0
101,41.0,26.48780487804878,29.22851514464899,7.0,14.0,21.0,28.0,183.0
102,32.0,52.3125,43.64256393816447,7.0,19.25,35.0,77.0,176.0
103,27.0,27.77777777777778,35.66654684858858,7.0,7.0,21.0,28.0,176.0
104,38.0,33.73684210526316,41.680045267993215,7.0,8.75,21.0,28.0,183.0
