id,count,mean,std,min,25%,50%,75%,max
0,26.0,64.46153846153847,90.32263537750912,7.0,8.75,28.0,54.25,329.0
1,42.0,57.904761904761905,49.824966571432505,7.0,21.0,42.0,84.0,189.0
2,28.0,63.857142857142854,95.47724735194643,7.0,7.0,28.0,36.75,343.0
3,38.0,65.47368421052632,82.49446724841785,7.0,8.75,35.0,73.5,329.0
4,33.0,70.93939393939394,92.11234288694003,7.0,14.0,35.0,84.0,476.0
5,40.0,43.825,56.16043296458131,7.0,7.0,21.0,50.75,231.0
6,34.0,26.852941176470587,31.443197802657433,7.0,7.0,14.0,40.25,150.0
7,31.0,71.90322580645162,90.58011365221017,7.0,17.5,49.0,94.5,490.0
8,38.0,67.5,93.18413912133214,7.0,7.0,24.5,75.25,336.0
9,39.0,56.256410256410255,97.87013897284554,7.0,10.5,28.0,70.0,602.0
10,30.0,18.3,28.8075062057288,7.0,7.0,7.0,14.0,150.0
11,44.0,22.65909090909091,37.3642928549395,7.0,7.0,7.0,21.0,182.0
12,19.0,68.3157894736842,104.83799811114869,7.0,21.0,35.0,77.0,476.0
13,55.0,31.363636363636363,38.12764314401261,7.0,14.0,14.0,35.0,196.0
14,41.0,46.68292682926829,50.98109405671393,7.0,21.0,28.0,56.0,273.0
15,19.0,38.8421052631579,52.95623261807259,7.0,7.0,21.0,35.0,210.0
16,36.0,70.47222222222223,77.79992145097434,7.0,14.0,31.5,99.75,273.0
17,31.0,112.3225806451613,144.7347889755084,7.0,21.0,70.0,129.5,707.0
18,37.0,29.405405405405407,33.93904622789007,7.0,7.0,14.0,35.0,150.0
19,32.0,63.75,80.19854394945648,7.0,19.25,38.5,70.0,406.0
20,36.0,38.97222222222222,34.461975825216086,7.0,14.0,31.5,56.0,150.0
21,26.0,73.07692307692308,57.75044455373349,7.0,28.0,52.5,112.0,189.0
22,22.0,64.4090909090909,110.6963496154314,7.0,7.0,21.0,49.0,490.0
23,25.0,63.12,84.87604687621433,7.0,14.0,28.0,49.0,343.0
24,36.0,66.38888888888889,89.88572992663765,7.0,21.0,35.0,70.0,455.0
25,28.0,36.357142857142854,39.868500780658344,7.0,14.0,21.0,36.75,150.0
