crossroad,amount
C,2.6999999999999997
C,7.2
C,6.4
C,0.8
C,6.3
C,4.2
C,7.2
C,3.2
C,7.2
C,8.0
C,4.4
C,0.0
C,4.0
C,5.0
C,2.2
C,0.0
C,6.5
C,5.2
C,1.3
C,12.6
B,5.2
A,2.2
A,2.2
A,2.2
A,1.1
D,5.0
D,6.0
D,6.800000000000001
G,0.0
G,5.0
G,6.2
G,7.6000000000000005
H,5.4
H,6.0
H,30.0
I,19.0
C,9.799999999999999
C,9.0
C,3.4000000000000004
C,18.0
B,6.800000000000001
B,1.8
B,8.4
B,9.600000000000001
A,5.2
A,5.4
A,5.800000000000001
D,17.5
G,20.0
H,27.599999999999998
H,18.400000000000002
H,47.0
H,46.0
I,46.0
C,2.8000000000000003
B,6.0
B,6.800000000000001
B,8.0
B,10.0
A,5.6000000000000005
A,5.800000000000001
A,5.800000000000001
A,27.0
D,27.900000000000002
G,5.800000000000001
G,26.1
H,25.0
I,20.0
C,2.8000000000000003
B,6.4
B,11.899999999999999
A,3.6
D,22.0
G,4.2
H,14.399999999999999
H,27.0
I,19.0
C,11.2
B,6.4
B,6.800000000000001
B,7.6000000000000005
B,8.0
B,9.200000000000001
A,23.400000000000002
D,2.7
D,3.1
D,4.2
D,8.8
D,4.9
D,5.2
G,20.4
G,13.600000000000001
G,13.8
G,14.0
H,84.0
I,7.0
C,2.1
C,3.3
B,3.5999999999999996
A,3.0
D,18.0
G,3.6
G,5.0
G,14.0
H,16.0
H,16.0
I,4.4
I,12.0
C,1.8
C,2.2
C,3.0
C,3.6
C,10.5
C,4.4
C,5.2
C,6.0
C,0.0
B,18.400000000000002
A,18.0
D,9.8
G,0.0
G,3.6
G,3.6
G,3.8000000000000003
H,16.0
H,15.0
H,6.0
H,1.6
H,15.0
I,10.0
I,7.5
C,2.6999999999999997
C,3.5999999999999996
C,1.6
C,6.0
C,2.8000000000000003
B,14.4
B,16.400000000000002
A,11.8
D,1.6
D,1.6
D,1.6
D,7.2
G,3.2
H,4.0
H,1.2000000000000002
H,7.2
H,12.0
I,11.0
I,17.0
C,5.1
B,28.0
A,3.2
A,4.2
A,4.800000000000001
A,5.6000000000000005
D,3.2
D,3.3000000000000003
G,7.0
G,7.0
H,18.0
I,18.0
I,35.0
C,10.5
C,17.7
B,6.4
A,3.6
A,15.200000000000001
D,10.0
G,4.0
G,4.2
G,4.4
G,4.4
H,11.0
I,9.0
C,11.200000000000001
C,5.3999999999999995
C,7.199999999999999
B,2.6
B,12.0
A,6.2
A,6.6000000000000005
D,3.9000000000000004
D,3.8000000000000003
D,3.8000000000000003
D,4.1000000000000005
D,20.5
G,9.4
G,9.4
G,9.4
G,9.600000000000001
G,9.600000000000001
H,40.0
I,41.0
C,4.2
C,5.1
B,7.2
B,8.8
B,9.600000000000001
B,10.8
A,6.0
A,5.800000000000001
D,3.5
D,3.6
D,3.9000000000000004
D,4.0
D,4.2
D,4.2
D,4.6000000000000005
D,4.7
D,5.1000000000000005
D,5.300000000000001
G,13.600000000000001
G,14.0
H,72.0
I,65.0
C,4.2
C,5.1
C,5.1
C,5.7
B,8.0
B,8.0
B,8.4
B,8.8
B,9.600000000000001
A,5.4
A,5.4
D,3.2
D,3.7
D,3.8000000000000003
D,4.1000000000000005
G,10.4
H,32.0
I,33.0
C,4.8
C,5.1
C,5.1
C,5.3999999999999995
C,5.7
C,6.3
C,7.199999999999999
C,7.199999999999999
C,8.1
C,8.7
C,9.0
B,12.4
B,13.600000000000001
A,7.4
A,7.4
D,23.5
G,10.600000000000001
G,0.0
G,12.4
H,33.0
I,13.0
I,13.0
C,3.9
C,0.0
B,10.8
A,6.4
D,18.5
G,10.600000000000001
H,7.0
H,7.0
H,7.0
I,7.0
I,12.0
I,6.4
I,20.0
C,6.0
B,9.600000000000001
A,6.4
D,28.5
G,2.8000000000000003
G,2.8000000000000003
H,12.0
H,12.0
H,13.0
H,14.0
H,15.0
H,16.0
I,10.0
C,3.0
B,5.6000000000000005
B,7.2
B,5.2
B,15.600000000000001
B,20.400000000000002
A,56.699999999999996
D,8.0
G,3.4000000000000004
G,3.6
G,3.6
G,3.8000000000000003
G,4.0
G,4.0
G,4.2
G,4.2
H,19.0
I,17.0
C,5.3999999999999995
C,0.0
C,7.199999999999999
C,8.7
C,10.799999999999999
C,12.0
C,14.1
B,32.0
A,3.2
D,9.5
G,4.2
G,4.4
G,4.6000000000000005
G,4.6000000000000005
G,4.6000000000000005
H,8.0
H,5.0
H,3.0
H,3.0
H,3.0
H,3.0
H,2.0
I,3.0
I,12.0
C,3.5999999999999996
B,6.4
A,3.6
A,3.6
A,3.4000000000000004
A,3.8000000000000003
A,4.4
D,13.5
G,5.800000000000001
G,5.800000000000001
G,5.800000000000001
G,6.0
H,11.0
I,10.0
I,24.0
C,4.2
B,6.0
B,7.2
B,10.0
A,5.6000000000000005
A,6.0
A,6.6000000000000005
A,7.4
D,22.0
G,10.4
H,59.0
I,60.0
C,4.2
C,4.8
B,7.2
A,3.8000000000000003
D,11.5
G,4.800000000000001
G,4.6000000000000005
G,4.4
G,4.6000000000000005
G,4.2
G,4.0
G,3.6
G,1.8
G,3.4000000000000004
G,3.2
H,7.0
H,12.0
I,13.0
C,4.2
B,4.800000000000001
B,6.0
A,3.4000000000000004
D,10.5
D,13.5
D,14.0
D,14.5
D,16.0
G,6.800000000000001
G,7.4
G,8.4
G,8.8
H,36.0
I,26.0
C,4.5
C,5.3999999999999995
C,5.3999999999999995
C,4.8
C,7.5
C,4.5
C,4.5
C,4.8
C,6.0
C,6.3
C,6.8999999999999995
C,7.199999999999999
C,7.8
C,8.4
C,8.7
C,9.6
C,10.2
C,10.5
B,16.0
A,13.799999999999999
D,27.0
G,12.200000000000001
H,81.0
I,13.0
I,7.0
I,15.0
C,4.5
C,5.1
C,5.7
C,14.7
C,6.6
C,8.4
C,8.7
C,9.6
C,10.2
C,10.2
C,11.4
C,33.6
B,18.0
A,10.8
D,35.5
G,10.5
G,20.0
H,9.0
H,9.0
I,8.0
I,1.6
I,9.0
C,0.6
C,1.2
C,2.1
C,3.5999999999999996
C,5.1
C,7.8
B,13.200000000000001
B,15.600000000000001
A,9.600000000000001
A,10.0
D,34.5
D,39.0
G,3.0
G,3.0
G,3.2
G,3.4000000000000004
H,1.9000000000000001
H,1.9000000000000001
H,2.1
I,26.0
C,7.8
B,14.0
A,11.4
D,8.0
G,3.6
G,9.0
G,3.8000000000000003
G,1.9000000000000001
G,4.4
G,4.4
H,2.6
H,2.6
H,2.4000000000000004
H,2.3000000000000003
I,27.0
I,29.0
I,29.7
C,10.2
C,13.5
B,24.8
B,35.6
B,79.1
A,3.2
A,17.0
D,8.5
G,3.6
G,5.3999999999999995
G,3.8000000000000003
G,3.6
H,2.1
H,2.2
H,2.4000000000000004
H,2.4000000000000004
H,2.4000000000000004
H,2.6
H,3.0
H,3.2
H,3.4000000000000004
H,3.7
H,4.3
H,5.2
I,75.0
C,22.5
C,33.6
B,6.4
B,10.0
A,5.6000000000000005
A,5.6000000000000005
D,33.0
G,5.4
H,2.5
H,3.1
H,4.7
I,62.0
C,4.2
C,4.8
C,5.3999999999999995
C,6.0
C,6.0
C,6.3
C,22.5
B,9.600000000000001
B,11.600000000000001
B,12.4
A,6.800000000000001
D,20.5
D,21.0
G,10.0
G,10.8
H,7.2
H,6.9
H,6.800000000000001
H,7.0
H,7.300000000000001
