id,count,mean,std,min,25%,50%,75%,max
0,22.0,50.13636363636363,61.62041672672912,7.0,8.75,21.0,80.5,252.0
1,50.0,43.62,36.69281751436999,7.0,15.75,35.0,61.25,175.0
2,47.0,39.851063829787236,32.319719867627626,7.0,14.0,35.0,52.5,130.0
3,36.0,31.805555555555557,34.30686682154334,7.0,7.0,21.0,42.0,130.0
4,31.0,53.87096774193548,63.11510222626798,7.0,7.0,28.0,84.0,245.0
5,52.0,34.0,30.40381812968143,7.0,14.0,21.0,43.75,130.0
6,22.0,37.40909090909091,37.83757151538426,7.0,8.75,24.5,42.0,130.0
7,39.0,41.92307692307692,58.621616551622886,7.0,7.0,14.0,49.0,308.0
8,32.0,49.34375,61.871150906671595,7.0,7.0,14.0,78.75,217.0
9,50.0,32.28,43.58479420295897,7.0,7.0,21.0,40.25,252.0
10,35.0,13.314285714285715,21.349709225973395,7.0,7.0,7.0,7.0,130.0
11,32.0,16.53125,24.61835713577403,7.0,7.0,7.0,14.0,130.0
12,25.0,61.48,88.83651651582623,7.0,7.0,28.0,56.0,385.0
13,36.0,21.88888888888889,28.270911630940457,7.0,7.0,14.0,22.75,130.0
14,44.0,38.90909090909091,65.17340668316501,7.0,7.0,14.0,35.0,301.0
15,45.0,27.466666666666665,36.282101773338724,7.0,7.0,7.0,35.0,182.0
16,42.0,48.76190476190476,52.756601493665606,7.0,7.0,24.5,68.25,182.0
17,35.0,59.91428571428571,102.13208616889251,7.0,7.0,21.0,77.0,581.0
18,47.0,30.76595744680851,29.02713330808102,7.0,10.5,21.0,35.0,130.0
19,45.0,46.44444444444444,55.699908419851084,7.0,14.0,21.0,42.0,217.0
20,32.0,39.71875,58.480343747610696,7.0,7.0,10.5,35.0,231.0
21,29.0,36.827586206896555,28.685572488021172,7.0,14.0,35.0,49.0,130.0
22,42.0,25.095238095238095,38.852949490203045,7.0,7.0,7.0,26.25,224.0
23,28.0,77.14285714285714,132.88611506368744,7.0,14.0,35.0,70.0,651.0
24,40.0,52.95,53.265156745070435,7.0,14.0,35.0,70.0,231.0
25,17.0,22.88235294117647,30.323015913949707,7.0,7.0,7.0,28.0,130.0
26,37.0,71.24324324324324,130.78277269439437,7.0,14.0,28.0,63.0,644.0
27,47.0,49.08510638297872,60.96250800331015,7.0,7.0,21.0,49.0,245.0
28,37.0,43.62162162162162,60.081126335495256,7.0,7.0,14.0,35.0,252.0
29,37.0,27.54054054054054,25.32411520292093,7.0,7.0,14.0,42.0,130.0
30,26.0,66.38461538461539,78.48162940361364,7.0,14.0,24.5,115.0,301.0
31,26.0,29.23076923076923,49.32934841840722,7.0,7.0,7.0,26.25,231.0
32,31.0,31.741935483870968,32.31817625004592,7.0,7.0,21.0,45.5,130.0
33,12.0,23.083333333333332,35.27929687336169,7.0,7.0,7.0,19.25,130.0
34,43.0,42.25581395348837,61.22483662824295,7.0,7.0,21.0,42.0,322.0
35,28.0,21.642857142857142,24.14495466922305,7.0,7.0,14.0,21.0,130.0
36,28.0,44.892857142857146,65.23367642316765,7.0,7.0,14.0,45.5,252.0
37,45.0,39.6,36.406418015609184,7.0,14.0,28.0,49.0,161.0
38,42.0,47.095238095238095,48.48777040873524,7.0,14.0,35.0,63.0,203.0
39,49.0,36.795918367346935,37.42769673641697,7.0,14.0,21.0,49.0,154.0
40,24.0,57.625,81.10637807976258,7.0,7.0,14.0,71.75,315.0
41,50.0,34.94,31.18896324938405,7.0,14.0,21.0,49.0,158.0
42,26.0,38.92307692307692,44.62817323343906,7.0,7.0,21.0,52.5,175.0
43,44.0,47.02272727272727,66.3890887071494,7.0,7.0,21.0,49.0,315.0
44,38.0,46.3421052631579,60.66847274027318,7.0,7.0,14.0,47.25,217.0
45,37.0,35.108108108108105,31.926811950480136,7.0,14.0,28.0,42.0,165.0
46,17.0,29.470588235294116,34.280310761169495,7.0,7.0,14.0,49.0,137.0
47,48.0,15.979166666666666,22.418162833352223,7.0,7.0,7.0,14.0,144.0
48,18.0,50.0,55.139395545983916,7.0,7.0,42.0,49.0,210.0
49,50.0,22.9,23.346764841652657,7.0,7.0,14.0,28.0,144.0
50,41.0,53.19512195121951,79.27017708829568,7.0,14.0,28.0,56.0,413.0
51,43.0,32.97674418604651,42.13498058795431,7.0,7.0,7.0,45.5,189.0
52,36.0,31.61111111111111,35.012061413810585,7.0,7.0,17.5,38.5,172.0
53,32.0,61.375,93.75629011156462,7.0,12.25,21.0,64.75,483.0
54,44.0,36.04545454545455,36.534758566459885,7.0,7.0,14.0,63.0,137.0
55,47.0,45.51063829787234,56.99728152953991,7.0,7.0,28.0,45.5,259.0
56,37.0,31.324324324324323,52.128076276957856,7.0,7.0,7.0,28.0,231.0
57,37.0,58.0,83.86463961514279,7.0,14.0,42.0,63.0,490.0
58,22.0,41.22727272727273,68.16012786301849,7.0,7.0,17.5,35.0,308.0
59,36.0,69.72222222222223,122.17355596763883,7.0,14.0,28.0,63.0,658.0
60,32.0,46.9375,54.30257969277631,7.0,7.0,21.0,71.75,175.0
61,20.0,23.65,32.3879038498862,7.0,7.0,7.0,22.75,137.0
62,33.0,53.15151515151515,58.24416344800203,7.0,7.0,28.0,63.0,252.0
63,47.0,47.744680851063826,58.54892717433424,7.0,7.0,21.0,52.5,210.0
64,36.0,45.416666666666664,60.23827686778565,7.0,7.0,21.0,45.5,217.0
65,42.0,32.26190476190476,35.72732746779009,7.0,7.0,21.0,35.0,144.0
66,31.0,62.903225806451616,76.28034034127434,7.0,10.5,21.0,91.0,259.0
67,32.0,29.0,49.92381292303497,7.0,7.0,7.0,21.0,196.0
68,39.0,30.435897435897434,34.390019108819835,7.0,7.0,21.0,45.5,158.0
69,14.0,19.285714285714285,36.264898416276544,7.0,7.0,7.0,12.25,144.0
70,36.0,49.69444444444444,63.24682688571112,7.0,7.0,21.0,57.75,224.0
71,30.0,25.566666666666666,34.99623953525858,7.0,7.0,17.5,21.0,161.0
72,26.0,46.73076923076923,70.37531254200309,7.0,7.0,7.0,63.0,252.0
73,42.0,41.42857142857143,40.63708678411448,7.0,7.0,31.5,54.25,179.0
74,24.0,51.208333333333336,52.899395218591614,7.0,14.0,21.0,73.5,179.0
75,48.0,43.833333333333336,44.64247254140309,7.0,19.25,28.0,50.75,203.0
76,25.0,55.04,69.77253518875939,7.0,7.0,14.0,70.0,217.0
77,46.0,40.56521739130435,36.89483684077281,7.0,21.0,28.0,56.0,179.0
78,29.0,38.51724137931034,42.28189471499184,7.0,7.0,28.0,49.0,175.0
79,43.0,64.88372093023256,90.80701915976633,7.0,10.5,28.0,63.0,329.0
80,31.0,57.935483870967744,59.694184799900995,7.0,14.0,35.0,87.5,203.0
81,39.0,30.615384615384617,34.234189885040664,7.0,7.0,21.0,38.5,179.0
82,19.0,22.31578947368421,34.936533936679695,7.0,7.0,7.0,24.5,158.0
83,43.0,16.046511627906977,23.574555985691024,7.0,7.0,7.0,14.0,151.0
