crossroad,amount
C,6.3
C,0.7000000000000001
C,4.2
C,9.0
C,2.4
C,5.6
C,1.8
C,1.0
C,9.0
C,2.2
C,11.0
C,2.2
C,12.0
B,2.2
B,2.6
B,7.5
A,1.4000000000000001
A,9.799999999999999
A,14.0
D,11.700000000000001
D,12.6
G,9.9
H,1.2000000000000002
H,2.0
H,0.0
H,4.2
H,4.6000000000000005
I,37.800000000000004
C,12.6
C,15.3
B,3.4000000000000004
A,4.0
D,15.3
D,13.799999999999999
D,22.5
G,23.400000000000002
H,2.1
I,18.400000000000002
C,12.6
B,2.8000000000000003
A,4.8
A,0.0
D,20.7
G,11.700000000000001
H,1.4000000000000001
H,2.4000000000000004
I,10.799999999999999
C,8.4
C,14.4
B,3.4000000000000004
A,14.4
D,14.4
G,13.5
H,2.1
H,1.0
H,1.0
H,1.4000000000000001
I,10.8
I,18.0
I,2.6
I,36.0
C,14.4
B,3.2
B,9.5
B,10.5
A,4.800000000000001
A,4.6000000000000005
D,27.0
G,27.900000000000002
H,4.6000000000000005
H,7.800000000000001
H,11.600000000000001
H,10.8
H,11.0
H,34.8
I,14.4
C,15.3
C,16.2
B,3.4000000000000004
B,3.6
B,17.6
A,4.6000000000000005
A,20.0
D,25.2
G,25.2
H,2.6
I,11.700000000000001
I,11.2
I,18.900000000000002
C,22.0
C,20.7
B,4.6000000000000005
B,6.800000000000001
B,4.2
B,49.0
A,9.8
A,12.200000000000001
D,99.0
G,16.0
G,15.3
G,15.3
G,15.3
G,16.2
G,17.1
H,3.0
I,8.1
C,2.7
C,7.2
C,4.800000000000001
C,18.900000000000002
B,4.6000000000000005
A,28.7
D,10.8
G,9.0
H,1.4000000000000001
H,1.6
H,6.6
H,2.6
H,2.8000000000000003
H,3.2
H,3.4000000000000004
H,15.3
I,15.3
C,16.2
C,8.7
C,33.300000000000004
B,8.200000000000001
B,10.200000000000001
B,14.200000000000001
A,4.8
D,17.1
G,3.6
H,15.3
I,15.3
C,17.1
C,17.1
C,3.6
C,0.0
C,0.0
C,1.4
C,1.8
C,0.0
C,1.8
C,1.8
C,0.8
C,0.0
C,2.7
C,4.5
C,10.8
B,3.2
B,4.0
