id,count,mean,std,min,25%,50%,75%,max
0,28.0,36.142857142857146,39.60799983328685,7.0,7.0,14.0,52.5,130.0
1,46.0,51.52173913043478,56.20309961022703,7.0,14.0,35.0,68.25,259.0
2,34.0,37.38235294117647,36.924997450509636,7.0,7.0,24.5,54.25,140.0
3,46.0,50.30434782608695,46.30712427320559,7.0,15.75,42.0,61.25,252.0
4,37.0,46.45945945945946,50.31599844681311,7.0,14.0,28.0,70.0,224.0
5,47.0,38.361702127659576,31.581795479918966,7.0,14.0,28.0,49.0,140.0
6,19.0,19.0,28.189832682487964,7.0,7.0,7.0,21.0,130.0
7,58.0,34.3448275862069,31.038488684121095,7.0,7.0,28.0,49.0,133.0
8,43.0,53.16279069767442,43.32212138792821,7.0,14.0,42.0,77.0,182.0
9,34.0,23.794117647058822,30.562186392283014,7.0,7.0,7.0,26.25,130.0
10,15.0,26.866666666666667,34.13600249980461,7.0,7.0,14.0,21.0,130.0
11,46.0,18.956521739130434,27.121911209073197,7.0,7.0,7.0,21.0,130.0
12,38.0,44.86842105263158,51.39627237121152,7.0,7.0,21.0,68.25,210.0
13,58.0,25.53448275862069,30.47185386217818,7.0,7.0,14.0,28.0,154.0
14,46.0,30.67391304347826,29.340949274824528,7.0,7.0,21.0,42.0,130.0
15,17.0,32.35294117647059,33.007463505377444,7.0,7.0,28.0,42.0,130.0
16,33.0,40.21212121212121,41.02038942385662,7.0,7.0,28.0,56.0,154.0
17,36.0,59.02777777777778,73.22586822822777,7.0,14.0,31.5,70.0,343.0
18,48.0,42.520833333333336,40.39011338019798,7.0,14.0,24.5,56.0,182.0
19,40.0,36.85,34.04262034567844,7.0,14.0,28.0,49.0,130.0
20,48.0,26.1875,29.735469364008235,7.0,7.0,14.0,35.0,140.0
21,40.0,46.125,48.04388351902606,7.0,19.25,35.0,63.0,259.0
22,43.0,27.11627906976744,34.82692534063509,7.0,7.0,14.0,31.5,175.0
23,42.0,51.42857142857143,78.58881657457589,7.0,14.0,21.0,49.0,469.0
24,43.0,43.883720930232556,35.363560275357415,7.0,14.0,35.0,66.5,130.0
25,42.0,23.261904761904763,40.22804477634097,7.0,7.0,7.0,19.25,224.0
26,41.0,57.292682926829265,68.4011125283935,7.0,21.0,35.0,56.0,329.0
27,46.0,44.369565217391305,45.121740852770095,7.0,14.0,28.0,63.0,210.0
28,36.0,49.30555555555556,42.65865810256005,7.0,14.0,38.5,73.5,189.0
29,35.0,23.514285714285716,40.193188937614664,7.0,7.0,14.0,21.0,217.0
30,22.0,33.59090909090909,39.34058741531217,7.0,7.0,14.0,40.25,130.0
31,25.0,27.6,29.081781238431734,7.0,7.0,14.0,35.0,130.0
32,41.0,53.53658536585366,61.301752650709595,7.0,21.0,35.0,63.0,287.0
33,8.0,28.5,42.68489194082609,7.0,7.0,10.5,21.0,130.0
34,32.0,32.28125,30.779375556976774,7.0,7.0,24.5,42.0,130.0
35,13.0,40.69230769230769,34.5648776828556,7.0,14.0,28.0,56.0,130.0
36,27.0,42.407407407407405,49.412128112017236,7.0,7.0,21.0,42.0,161.0
37,36.0,42.30555555555556,52.43816464285445,7.0,7.0,17.5,63.0,238.0
38,46.0,44.67391304347826,48.22450015768891,7.0,15.75,31.5,49.0,280.0
39,47.0,50.276595744680854,49.450327350945145,7.0,14.0,35.0,63.0,252.0
40,30.0,41.666666666666664,48.88362911448268,7.0,7.0,21.0,47.25,161.0
41,37.0,51.0,43.37818191979312,7.0,21.0,42.0,70.0,182.0
42,36.0,18.38888888888889,24.00509205240514,7.0,7.0,14.0,15.75,137.0
43,50.0,33.12,33.42163542206925,7.0,14.0,21.0,40.25,151.0
44,33.0,46.78787878787879,48.22198511555542,7.0,7.0,28.0,91.0,179.0
45,49.0,31.367346938775512,37.11900562018455,7.0,7.0,14.0,35.0,168.0
46,18.0,23.166666666666668,30.459713026341184,7.0,7.0,14.0,21.0,137.0
47,41.0,19.21951219512195,26.240724261271776,7.0,7.0,7.0,21.0,144.0
48,21.0,28.857142857142858,32.9185141133158,7.0,7.0,14.0,35.0,144.0
49,39.0,30.974358974358974,31.089418727520695,7.0,7.0,21.0,45.5,144.0
50,45.0,41.46666666666667,36.60514121863708,7.0,14.0,28.0,49.0,151.0
51,36.0,27.52777777777778,31.401079245430047,7.0,7.0,10.5,56.0,137.0
52,37.0,37.945945945945944,35.968308539869085,7.0,14.0,28.0,49.0,172.0
53,35.0,49.31428571428572,49.67350544160482,7.0,14.0,35.0,63.0,252.0
54,41.0,40.90243902439025,33.26244494775511,7.0,14.0,35.0,49.0,137.0
55,48.0,41.791666666666664,35.75981242116859,7.0,14.0,31.5,50.75,158.0
56,37.0,28.864864864864863,48.933152907343434,7.0,7.0,14.0,21.0,266.0
57,38.0,55.73684210526316,79.71492593476584,7.0,21.0,38.5,70.0,497.0
58,24.0,30.208333333333332,30.02749344049284,7.0,12.25,24.5,31.5,144.0
59,44.0,60.22727272727273,84.23606465011197,7.0,19.25,35.0,56.0,462.0
60,38.0,37.68421052631579,43.13592925396566,7.0,7.0,21.0,40.25,182.0
61,22.0,22.454545454545453,30.613920382925826,7.0,7.0,10.5,21.0,137.0
62,42.0,46.26190476190476,50.76827294429865,7.0,14.0,28.0,59.5,210.0
63,47.0,42.829787234042556,46.0653218380237,7.0,14.0,21.0,45.5,182.0
64,39.0,35.46153846153846,40.186961851252306,7.0,7.0,14.0,59.5,151.0
65,44.0,27.136363636363637,31.48539041722619,7.0,7.0,17.5,29.75,154.0
66,41.0,31.51219512195122,39.13126751794498,7.0,7.0,14.0,35.0,179.0
67,31.0,27.451612903225808,27.656028528667935,7.0,7.0,14.0,38.5,137.0
68,29.0,49.13793103448276,54.599008453798234,7.0,14.0,28.0,70.0,238.0
69,14.0,21.285714285714285,36.09907003155147,7.0,7.0,7.0,14.0,144.0
70,45.0,32.91111111111111,32.47294133878111,7.0,14.0,21.0,42.0,165.0
71,23.0,29.695652173913043,32.116881404430366,7.0,7.0,14.0,35.0,137.0
72,31.0,30.612903225806452,36.38926345261272,7.0,7.0,14.0,38.5,165.0
73,43.0,44.2093023255814,49.87534849599448,7.0,10.5,28.0,56.0,245.0
74,35.0,36.31428571428572,36.96164262056117,7.0,7.0,28.0,49.0,179.0
75,46.0,47.41304347826087,58.3276477560481,7.0,7.0,21.0,61.25,259.0
76,25.0,44.68,63.689821269440955,7.0,7.0,28.0,42.0,249.0
77,40.0,55.575,53.233345776534684,7.0,21.0,38.5,71.75,252.0
78,35.0,28.114285714285714,27.58598474990242,7.0,14.0,21.0,31.5,165.0
79,53.0,35.20754716981132,43.52203619148052,7.0,7.0,21.0,42.0,224.0
80,32.0,48.03125,58.452343077846955,7.0,7.0,21.0,70.0,210.0
81,45.0,34.77777777777778,33.18946224391718,7.0,14.0,21.0,42.0,179.0
82,19.0,22.68421052631579,36.03247398231975,7.0,7.0,7.0,21.0,158.0
83,43.0,25.162790697674417,49.5762665148394,7.0,7.0,7.0,21.0,301.0
84,30.0,26.733333333333334,35.697902317714096,7.0,7.0,14.0,31.5,172.0
85,42.0,25.095238095238095,29.105199873871776,7.0,7.0,14.0,33.25,165.0
86,46.0,40.108695652173914,36.59218390182956,7.0,14.0,31.5,54.25,179.0
87,35.0,34.51428571428571,33.06443924909574,7.0,14.0,21.0,49.0,158.0
88,43.0,37.04651162790697,34.877304319415906,7.0,14.0,28.0,52.5,186.0
89,34.0,62.294117647058826,86.71602187138119,7.0,21.0,35.0,63.0,448.0
90,45.0,42.24444444444445,49.14410884677262,7.0,7.0,28.0,42.0,203.0
91,48.0,43.25,44.28798405792359,7.0,14.0,24.5,56.0,182.0
92,33.0,30.242424242424242,45.04236221535671,7.0,7.0,14.0,28.0,203.0
93,37.0,60.648648648648646,81.06691893334386,7.0,21.0,35.0,84.0,476.0
94,27.0,42.148148148148145,47.49955765276112,7.0,14.0,28.0,38.5,186.0
95,42.0,53.26190476190476,64.62577433562025,7.0,14.0,35.0,61.25,315.0
96,39.0,38.333333333333336,49.139614918983284,7.0,7.0,14.0,42.0,193.0
97,16.0,30.4375,47.307460651923954,7.0,7.0,7.0,19.25,165.0
98,39.0,51.61538461538461,54.779757779203244,7.0,17.5,35.0,52.5,210.0
99,47.0,55.340425531914896,46.792454146287064,7.0,21.0,42.0,77.0,186.0
100,36.0,46.583333333333336,57.94695850517091,7.0,7.0,28.0,50.75,217.0
101,42.0,38.095238095238095,37.916988613966744,7.0,8.75,28.0,49.0,179.0
