id,count,mean,std,min,25%,50%,75%,max
0,43.0,9.55813953488372,21.58074795206465,0.0,0.0,0.0,7.0,117.0
1,57.0,11.631578947368421,17.46387248307955,0.0,0.0,7.0,14.0,110.0
2,50.0,14.8,33.8863647251474,0.0,0.0,7.0,14.0,203.0
3,57.0,8.31578947368421,16.215246236993003,0.0,0.0,0.0,14.0,110.0
4,48.0,10.75,21.28579588324051,0.0,0.0,3.5,14.0,124.0
5,58.0,6.120689655172414,18.77108413267682,0.0,0.0,0.0,7.0,131.0
6,41.0,7.121951219512195,17.37698927022633,0.0,0.0,0.0,7.0,110.0
7,64.0,12.765625,25.990683426951282,0.0,0.0,0.0,14.0,147.0
8,60.0,18.633333333333333,26.841636431627705,0.0,0.0,7.0,22.75,138.0
9,68.0,13.764705882352942,27.609276857044268,0.0,0.0,0.0,14.0,131.0
10,25.0,5.24,22.040266181090765,0.0,0.0,0.0,0.0,110.0
11,47.0,6.361702127659575,17.833073245730922,0.0,0.0,0.0,7.0,117.0
12,46.0,21.869565217391305,34.71574007126525,0.0,7.0,7.0,21.0,168.0
13,70.0,11.071428571428571,18.379510826446435,0.0,0.0,7.0,14.0,124.0
14,57.0,14.210526315789474,18.835506783452196,0.0,7.0,7.0,14.0,117.0
15,39.0,3.5384615384615383,17.700499775647362,0.0,0.0,0.0,0.0,110.0
16,54.0,12.925925925925926,23.25806969054523,0.0,0.0,7.0,14.0,131.0
17,57.0,12.736842105263158,22.664892861451005,0.0,0.0,7.0,14.0,124.0
18,55.0,10.018181818181818,23.006030537175267,0.0,0.0,0.0,7.0,119.0
19,60.0,10.116666666666667,19.246916254577883,0.0,0.0,7.0,14.0,117.0
20,56.0,16.589285714285715,22.410043840543125,0.0,0.0,14.0,21.0,131.0
21,56.0,15.714285714285714,22.03527278599579,0.0,0.0,7.0,21.0,131.0
22,37.0,3.1621621621621623,19.2346815147268,0.0,0.0,0.0,0.0,117.0
23,57.0,12.24561403508772,23.752654514626947,0.0,0.0,7.0,14.0,131.0
24,58.0,14.327586206896552,24.047021138809118,0.0,0.0,7.0,14.0,138.0
25,38.0,6.394736842105263,18.77683949125165,0.0,0.0,0.0,7.0,110.0
26,57.0,17.035087719298247,23.22864988411071,0.0,0.0,7.0,21.0,131.0
27,55.0,20.454545454545453,31.696370969874973,0.0,0.0,14.0,21.0,161.0
28,61.0,16.491803278688526,26.50699464343935,0.0,0.0,7.0,21.0,154.0
