id,count,mean,std,min,25%,50%,75%,max
0,26.0,40.0,53.0139604255332,7.0,7.0,21.0,38.5,182.0
1,43.0,40.30232558139535,37.827638474508824,7.0,14.0,28.0,56.0,161.0
2,36.0,37.05555555555556,37.26809776620094,7.0,14.0,24.5,50.75,161.0
3,49.0,45.93877551020408,44.38158785054962,7.0,14.0,28.0,56.0,203.0
4,24.0,52.666666666666664,56.83665891923494,7.0,12.25,24.5,92.75,210.0
5,50.0,37.74,29.163725021726165,7.0,14.0,28.0,49.0,130.0
6,22.0,32.63636363636363,34.586737692971624,7.0,7.0,14.0,45.5,130.0
7,40.0,52.25,80.31660108754858,7.0,7.0,24.5,45.5,406.0
8,33.0,49.96969696969697,50.904619662956954,7.0,7.0,21.0,91.0,175.0
9,46.0,30.217391304347824,28.49554588467644,7.0,7.0,21.0,40.25,130.0
10,16.0,24.3125,33.27204782796915,7.0,7.0,7.0,24.5,130.0
11,22.0,23.09090909090909,37.15079835187689,7.0,7.0,7.0,14.0,130.0
12,21.0,47.857142857142854,49.60472327741151,7.0,7.0,28.0,56.0,147.0
13,59.0,30.796610169491526,35.287381578345496,7.0,7.0,21.0,38.5,168.0
14,43.0,53.16279069767442,83.92142873873387,7.0,14.0,28.0,45.5,490.0
15,32.0,30.3125,33.8015436753813,7.0,7.0,17.5,42.0,140.0
16,38.0,40.44736842105263,41.029783097108044,7.0,7.0,24.5,61.25,161.0
17,41.0,49.78048780487805,51.44390741143306,7.0,14.0,35.0,63.0,196.0
18,39.0,27.205128205128204,29.19100391989888,7.0,7.0,21.0,28.0,130.0
19,48.0,38.4375,71.91451966256795,7.0,7.0,21.0,29.75,448.0
20,27.0,71.96296296296296,108.23780140238277,7.0,7.0,42.0,66.5,455.0
21,47.0,46.5531914893617,52.890702935244434,7.0,14.0,35.0,56.0,287.0
22,41.0,24.170731707317074,36.792596020819445,7.0,7.0,7.0,21.0,154.0
23,42.0,53.595238095238095,61.68490328957618,7.0,14.0,28.0,73.5,252.0
24,39.0,49.1025641025641,41.33291976633464,7.0,14.0,35.0,73.5,140.0
25,19.0,28.210526315789473,35.16718632691627,7.0,7.0,14.0,28.0,130.0
26,47.0,49.53191489361702,58.30759927496579,7.0,14.0,35.0,66.5,350.0
27,34.0,46.44117647058823,52.40240057910289,7.0,8.75,28.0,61.25,245.0
28,34.0,55.088235294117645,54.41555462062508,7.0,14.0,38.5,91.0,189.0
29,48.0,37.125,40.15693946547773,7.0,7.0,24.5,49.0,210.0
30,27.0,46.55555555555556,80.67662578912154,7.0,14.0,21.0,42.0,420.0
31,12.0,25.416666666666668,38.438754906836905,7.0,7.0,7.0,15.75,130.0
32,30.0,39.8,51.09450338208669,7.0,7.0,21.0,45.5,196.0
33,13.0,19.153846153846153,33.60517359436925,7.0,7.0,7.0,14.0,130.0
34,32.0,47.8125,76.7221368988285,7.0,7.0,24.5,43.75,392.0
35,21.0,37.523809523809526,39.2703692974984,7.0,7.0,14.0,63.0,130.0
36,35.0,41.51428571428571,42.39545718489148,7.0,14.0,35.0,49.0,182.0
37,41.0,45.0,41.74625731727337,7.0,14.0,35.0,56.0,210.0
38,42.0,41.42857142857143,40.39267191274763,7.0,14.0,28.0,54.25,154.0
39,49.0,45.224489795918366,42.72209874395727,7.0,14.0,35.0,63.0,203.0
40,28.0,50.142857142857146,62.66176948105882,7.0,7.0,21.0,84.0,217.0
41,41.0,39.02439024390244,37.55295448089141,7.0,14.0,21.0,56.0,158.0
