id,count,mean,std,min,25%,50%,75%,max
0,28.0,43.892857142857146,59.16727028531799,7.0,7.0,17.5,50.75,238.0
1,48.0,40.333333333333336,35.38982503929705,7.0,14.0,31.5,57.75,168.0
2,46.0,43.0,44.774496709126225,7.0,14.0,21.0,63.0,161.0
3,48.0,47.916666666666664,45.682918886758806,7.0,21.0,31.5,70.0,210.0
4,26.0,52.65384615384615,54.488855600162715,7.0,14.0,38.5,78.75,245.0
5,39.0,31.333333333333332,31.744318458362986,7.0,7.0,14.0,49.0,130.0
6,37.0,39.45945945945946,26.428724476929972,7.0,21.0,28.0,56.0,130.0
7,56.0,39.19642857142857,40.29004823790842,7.0,7.0,28.0,56.0,182.0
8,47.0,46.40425531914894,52.550042226627674,7.0,7.0,21.0,59.5,231.0
9,28.0,35.142857142857146,36.37735792099488,7.0,12.25,21.0,36.75,130.0
10,21.0,28.19047619047619,37.90068475320604,7.0,7.0,7.0,28.0,133.0
11,22.0,19.272727272727273,30.171228518292562,7.0,7.0,7.0,7.0,130.0
12,35.0,35.91428571428571,37.89798336134975,7.0,7.0,21.0,38.5,130.0
13,54.0,30.27777777777778,35.53229552332966,7.0,7.0,17.5,35.0,217.0
14,41.0,46.02439024390244,50.252605805509255,7.0,14.0,28.0,56.0,231.0
15,18.0,25.11111111111111,30.23999861673061,7.0,7.0,14.0,28.0,130.0
16,46.0,40.26086956521739,41.83376349452607,7.0,7.0,24.5,54.25,168.0
17,35.0,43.714285714285715,47.98870665465526,7.0,10.5,21.0,66.5,203.0
18,49.0,32.224489795918366,32.54373039089253,7.0,7.0,14.0,49.0,130.0
19,34.0,40.26470588235294,49.02955745727599,7.0,7.0,21.0,49.0,217.0
20,39.0,47.12820512820513,59.53909794022548,7.0,14.0,21.0,56.0,336.0
21,40.0,53.3,64.9327857608671,7.0,14.0,35.0,64.75,371.0
22,25.0,27.04,36.08725536806589,7.0,7.0,14.0,28.0,130.0
23,44.0,54.97727272727273,74.82957027631419,7.0,14.0,35.0,57.75,357.0
24,37.0,49.86486486486486,47.106948155920314,7.0,14.0,35.0,70.0,210.0
25,37.0,25.45945945945946,30.095768062225215,7.0,7.0,7.0,35.0,130.0
26,40.0,37.375,42.053499198898955,7.0,7.0,21.0,42.0,168.0
27,33.0,40.63636363636363,37.97517131447384,7.0,14.0,21.0,70.0,147.0
28,31.0,66.51612903225806,55.49887144062297,7.0,28.0,49.0,87.5,189.0
29,44.0,28.40909090909091,27.922082768502033,7.0,7.0,14.0,43.75,130.0
30,25.0,40.48,77.72393453756699,7.0,7.0,7.0,28.0,364.0
31,28.0,33.392857142857146,60.94584073294504,7.0,7.0,10.5,28.0,308.0
32,42.0,39.095238095238095,39.88080382034146,7.0,14.0,31.5,54.25,224.0
33,13.0,28.846153846153847,40.973255817761085,7.0,7.0,7.0,21.0,130.0
34,38.0,52.78947368421053,76.36758824822637,7.0,7.0,21.0,57.75,385.0
35,22.0,31.681818181818183,41.86757623022784,7.0,7.0,14.0,26.25,154.0
36,33.0,47.63636363636363,56.07908376893863,7.0,7.0,28.0,63.0,238.0
37,35.0,35.31428571428572,41.50887320347119,7.0,10.5,21.0,42.0,203.0
38,38.0,44.86842105263158,46.80330956918253,7.0,14.0,24.5,61.25,175.0
39,49.0,52.224489795918366,49.174546814604895,7.0,21.0,35.0,70.0,217.0
40,31.0,48.0,61.39218191268331,7.0,7.0,21.0,38.5,217.0
41,48.0,33.916666666666664,32.61955641931551,7.0,14.0,21.0,42.0,158.0
42,30.0,43.3,27.67066166974291,7.0,21.0,35.0,56.0,137.0
43,52.0,40.73076923076923,53.72118119699718,7.0,7.0,21.0,50.75,266.0
44,39.0,40.12820512820513,48.352423053190506,7.0,7.0,21.0,52.5,189.0
45,48.0,32.75,34.01720465831897,7.0,14.0,21.0,42.0,165.0
46,19.0,34.473684210526315,34.459909752014134,7.0,7.0,28.0,49.0,137.0
47,40.0,20.225,28.273832697117935,7.0,7.0,14.0,14.0,144.0
48,21.0,46.857142857142854,52.90017553306011,7.0,7.0,28.0,77.0,182.0
49,44.0,34.45454545454545,36.43883345429041,7.0,7.0,21.0,49.0,168.0
50,38.0,49.10526315789474,53.21490823103037,7.0,14.0,24.5,66.5,245.0
51,36.0,19.555555555555557,26.273772304545666,7.0,7.0,7.0,21.0,137.0
52,33.0,35.121212121212125,40.32660224324445,7.0,7.0,14.0,49.0,172.0
53,42.0,38.26190476190476,38.57906643524567,7.0,14.0,24.5,47.25,144.0
54,45.0,36.17777777777778,32.21750575025442,7.0,7.0,28.0,49.0,137.0
55,46.0,44.06521739130435,54.578140587158984,7.0,14.0,21.0,42.0,245.0
56,38.0,32.3421052631579,35.80674579037766,7.0,7.0,21.0,45.5,151.0
57,42.0,45.42857142857143,51.35250859863442,7.0,21.0,28.0,54.25,287.0
58,27.0,31.77777777777778,31.982366936669884,7.0,14.0,21.0,35.0,144.0
59,40.0,53.825,61.57833764130587,7.0,21.0,35.0,70.0,322.0
60,33.0,50.39393939393939,75.52439150447498,7.0,7.0,28.0,63.0,413.0
61,18.0,39.111111111111114,45.6223486112942,7.0,7.0,17.5,64.75,137.0
62,42.0,47.095238095238095,46.49616271804484,7.0,14.0,35.0,49.0,182.0
63,43.0,46.325581395348834,41.29033146958519,7.0,17.5,28.0,59.5,165.0
64,37.0,45.513513513513516,49.85569265480212,7.0,14.0,21.0,63.0,196.0
65,41.0,34.58536585365854,37.17793405351895,7.0,7.0,14.0,49.0,144.0
66,37.0,39.45945945945946,68.86322780805546,7.0,7.0,14.0,35.0,371.0
67,31.0,30.387096774193548,33.95455533440232,7.0,7.0,21.0,35.0,137.0
68,32.0,39.71875,43.88124323745301,7.0,14.0,21.0,49.0,196.0
69,12.0,28.916666666666668,37.483228572822064,7.0,7.0,21.0,28.0,144.0
70,36.0,59.416666666666664,81.56377872560834,7.0,12.25,28.0,50.75,371.0
71,24.0,36.625,38.94791672723079,7.0,14.0,21.0,35.0,161.0
72,27.0,46.03703703703704,61.89288605913724,7.0,7.0,14.0,49.0,238.0
73,48.0,35.666666666666664,41.806714992208086,7.0,12.25,21.0,42.0,231.0
74,30.0,42.833333333333336,48.85522831113712,7.0,7.0,24.5,54.25,179.0
75,47.0,51.319148936170215,49.255812450202356,7.0,17.5,28.0,70.0,224.0
76,25.0,58.4,103.46617804867442,7.0,7.0,14.0,49.0,441.0
77,45.0,43.955555555555556,40.05675266847569,7.0,14.0,28.0,56.0,193.0
78,28.0,48.892857142857146,43.0583921236631,7.0,14.0,35.0,73.5,165.0
79,54.0,41.68518518518518,42.448114420897284,7.0,7.0,28.0,56.0,179.0
80,39.0,37.256410256410255,70.47198694991768,7.0,7.0,14.0,24.5,385.0
81,42.0,37.095238095238095,35.515581962528074,7.0,14.0,28.0,47.25,179.0
82,18.0,38.333333333333336,39.2203428607865,7.0,14.0,24.5,42.0,158.0
83,41.0,23.658536585365855,32.683030578648584,7.0,7.0,14.0,21.0,151.0
84,23.0,45.52173913043478,48.63675150375428,7.0,7.0,28.0,63.0,172.0
85,47.0,30.76595744680851,31.077891460817025,7.0,7.0,21.0,42.0,165.0
86,37.0,56.486486486486484,64.25756402583694,7.0,21.0,42.0,70.0,315.0
87,35.0,27.714285714285715,28.78272707981752,7.0,14.0,14.0,31.5,158.0
88,33.0,38.515151515151516,38.01983134835787,7.0,14.0,28.0,49.0,186.0
89,38.0,60.1578947368421,73.0348033717911,7.0,21.0,31.5,54.25,315.0
90,48.0,39.604166666666664,40.47207578614811,7.0,14.0,28.0,49.0,182.0
91,43.0,49.093023255813954,51.8237920877717,7.0,17.5,28.0,49.0,217.0
92,34.0,27.294117647058822,34.97837376174088,7.0,7.0,7.0,40.25,179.0
93,38.0,52.421052631578945,57.27063847465342,7.0,14.0,28.0,68.25,266.0
94,27.0,32.2962962962963,38.978114978708845,7.0,10.5,21.0,31.5,179.0
95,41.0,55.073170731707314,65.10813706592381,7.0,14.0,35.0,63.0,322.0
96,30.0,53.56666666666667,82.79875200347728,7.0,7.0,21.0,68.25,427.0
97,18.0,26.27777777777778,37.193936184395554,7.0,7.0,14.0,28.0,165.0
98,40.0,45.425,44.59957887578577,7.0,14.0,31.5,52.5,168.0
99,39.0,60.23076923076923,73.37842130047912,7.0,10.5,42.0,91.0,392.0
100,37.0,43.62162162162162,51.99270854400395,7.0,7.0,21.0,56.0,196.0
101,48.0,33.770833333333336,37.106654552205825,7.0,14.0,17.5,43.75,179.0
102,37.0,45.32432432432432,70.27290217986433,7.0,14.0,21.0,28.0,371.0
103,29.0,25.482758620689655,29.786886723685225,7.0,7.0,14.0,28.0,151.0
104,35.0,36.31428571428572,44.85320595045145,7.0,7.0,21.0,38.5,179.0
105,14.0,25.785714285714285,43.22246312603342,7.0,7.0,14.0,14.0,165.0
106,34.0,51.1764705882353,53.51945021020059,7.0,14.0,35.0,77.0,200.0
107,21.0,50.857142857142854,58.12511136702079,7.0,14.0,28.0,49.0,189.0
108,25.0,46.08,55.51044946674455,7.0,7.0,28.0,49.0,214.0
109,48.0,41.0625,46.13873908854523,7.0,19.25,28.0,43.75,263.0
110,42.0,47.92857142857143,54.22239338364612,7.0,21.0,35.0,56.0,333.0
111,47.0,52.659574468085104,50.700860380207025,7.0,21.0,35.0,66.5,231.0
112,22.0,84.18181818181819,138.74939257306298,7.0,8.75,31.5,49.0,592.0
113,46.0,41.630434782608695,42.148604139613866,7.0,14.0,28.0,56.0,207.0
114,26.0,44.30769230769231,41.861456478024486,7.0,14.0,28.0,61.25,172.0
115,52.0,42.88461538461539,44.516863447706186,7.0,7.0,24.5,70.0,200.0
116,35.0,47.714285714285715,79.67417894095908,7.0,7.0,14.0,52.5,364.0
117,38.0,33.26315789473684,41.62878695412218,7.0,7.0,17.5,40.25,214.0
118,18.0,34.44444444444444,43.42433882760196,7.0,7.0,24.5,35.0,186.0
119,41.0,27.414634146341463,53.94394109154248,7.0,7.0,7.0,28.0,301.0
120,30.0,29.766666666666666,36.26975878467971,7.0,7.0,14.0,35.0,186.0
121,42.0,35.26190476190476,45.879513215254995,7.0,7.0,24.5,49.0,284.0
122,41.0,59.170731707317074,66.46235868483167,7.0,21.0,35.0,77.0,329.0
123,36.0,42.69444444444444,72.12046249928734,7.0,21.0,28.0,35.0,452.0
124,34.0,34.705882352941174,39.92305433430262,7.0,14.0,21.0,40.25,193.0
125,39.0,52.15384615384615,72.11779051317382,7.0,7.0,28.0,66.5,350.0
126,47.0,39.40425531914894,39.55000114025617,7.0,14.0,21.0,56.0,172.0
127,44.0,47.34090909090909,46.33093455596113,7.0,21.0,28.0,70.0,203.0
128,36.0,39.97222222222222,65.61423456672934,7.0,7.0,17.5,35.0,333.0
129,36.0,53.388888888888886,54.85111160627873,7.0,14.0,28.0,77.0,210.0
