id,count,mean,std,min,25%,50%,75%,max
0,35.0,10.6,29.2275051761783,0.0,0.0,0.0,10.5,168.0
1,45.0,14.466666666666667,27.003871776267395,0.0,0.0,7.0,14.0,140.0
2,46.0,14.91304347826087,28.447867396701106,0.0,0.0,7.0,14.0,154.0
3,44.0,17.818181818181817,36.37164288177895,0.0,0.0,7.0,21.0,182.0
4,39.0,32.84615384615385,39.927261799650296,0.0,7.0,14.0,52.5,154.0
5,46.0,15.217391304347826,32.57668767247746,0.0,0.0,0.0,14.0,161.0
6,38.0,3.8684210526315788,22.708697051215182,0.0,0.0,0.0,0.0,140.0
7,52.0,13.192307692307692,25.24471481206878,0.0,0.0,7.0,14.0,147.0
8,45.0,17.11111111111111,29.15181440027846,0.0,0.0,7.0,28.0,182.0
9,49.0,14.285714285714286,29.697081787048823,0.0,0.0,0.0,14.0,161.0
10,29.0,7.241379310344827,26.22383753710379,0.0,0.0,0.0,0.0,140.0
11,43.0,14.976744186046512,25.44975289625854,0.0,0.0,7.0,21.0,147.0
12,38.0,17.86842105263158,31.837570066036996,0.0,0.0,7.0,19.25,161.0
13,55.0,9.036363636363637,25.513223612953716,0.0,0.0,0.0,7.0,161.0
14,50.0,11.34,23.447387914221917,0.0,0.0,7.0,14.0,154.0
15,40.0,12.25,23.65862991026254,0.0,0.0,7.0,14.0,140.0
16,44.0,17.181818181818183,29.017454833072957,0.0,0.0,7.0,21.0,168.0
17,43.0,21.162790697674417,39.759353635973355,0.0,0.0,7.0,21.0,203.0
18,51.0,16.470588235294116,23.460906155710585,0.0,0.0,7.0,28.0,140.0
19,43.0,10.418604651162791,24.170261694644456,0.0,0.0,7.0,14.0,154.0
20,49.0,24.857142857142858,40.86818240799722,0.0,0.0,14.0,28.0,175.0
21,43.0,15.953488372093023,28.995856426780716,0.0,0.0,7.0,21.0,161.0
22,33.0,5.7272727272727275,25.687147476015028,0.0,0.0,0.0,0.0,147.0
23,43.0,15.790697674418604,30.971229459993445,0.0,0.0,7.0,14.0,154.0
24,42.0,18.5,30.75889718597793,0.0,0.0,7.0,21.0,154.0
25,37.0,21.945945945945947,35.08398332410227,0.0,0.0,7.0,28.0,140.0
26,47.0,13.702127659574469,23.713796107106845,0.0,0.0,7.0,14.0,140.0
27,40.0,22.05,35.53614988596751,0.0,0.0,7.0,21.0,161.0
28,43.0,19.697674418604652,37.08005167955055,0.0,0.0,7.0,21.0,161.0
29,53.0,15.584905660377359,48.31524443384787,0.0,0.0,0.0,7.0,315.0
30,38.0,16.763157894736842,28.909396406168533,0.0,0.0,7.0,14.0,168.0
31,30.0,8.633333333333333,25.911631436058997,0.0,0.0,0.0,7.0,140.0
32,47.0,22.48936170212766,41.25628929151842,0.0,0.0,7.0,21.0,182.0
33,31.0,9.935483870967742,26.54924416233724,0.0,0.0,0.0,7.0,147.0
34,40.0,15.925,31.38461774132721,0.0,0.0,7.0,14.0,168.0
35,27.0,7.0,26.831382314802138,0.0,0.0,0.0,3.5,140.0
36,35.0,14.6,32.89305308384235,0.0,0.0,7.0,14.0,189.0
37,45.0,12.133333333333333,27.936291157495543,0.0,0.0,0.0,14.0,147.0
38,42.0,22.166666666666668,55.24619694081,0.0,0.0,7.0,14.0,308.0
39,44.0,7.636363636363637,26.997924906556104,0.0,0.0,0.0,7.0,175.0
40,34.0,26.352941176470587,49.76848360945222,0.0,0.0,7.0,26.25,259.0
41,45.0,11.044444444444444,28.609403695253416,0.0,0.0,0.0,7.0,175.0
42,38.0,5.894736842105263,27.209685749334277,0.0,0.0,0.0,0.0,168.0
43,52.0,18.846153846153847,31.959155683088177,0.0,5.25,7.0,21.0,203.0
44,40.0,14.175,31.52442073320464,0.0,0.0,7.0,14.0,189.0
45,49.0,17.0,36.119593020963016,0.0,0.0,7.0,14.0,196.0
46,29.0,7.724137931034483,28.332082460555636,0.0,0.0,0.0,7.0,154.0
47,43.0,18.3953488372093,29.97311456787941,0.0,0.0,14.0,21.0,168.0
48,37.0,15.324324324324325,31.12345851073864,0.0,0.0,7.0,14.0,175.0
49,54.0,13.222222222222221,37.67570994018368,0.0,0.0,3.5,14.0,259.0
50,46.0,26.32608695652174,45.05653453549026,0.0,7.0,14.0,28.0,245.0
51,39.0,21.17948717948718,35.05474800401268,0.0,0.0,7.0,21.0,147.0
52,44.0,15.909090909090908,30.767559313846753,0.0,0.0,7.0,15.75,182.0
53,43.0,18.3953488372093,36.756690051824464,0.0,0.0,7.0,14.0,196.0
54,51.0,17.568627450980394,45.26511014101735,0.0,0.0,7.0,14.0,266.0
55,42.0,13.666666666666666,26.641858378990356,0.0,0.0,7.0,14.0,161.0
56,48.0,12.541666666666666,27.05153343145094,0.0,0.0,3.5,14.0,175.0
