crossroad,amount
C,8.1
C,4.5
C,4.5
C,7.2
C,7.2
C,8.1
C,3.6
C,7.0
C,8.0
C,8.0
C,1.1
C,4.4
C,1.2000000000000002
C,10.8
B,12.0
A,11.0
A,2.4000000000000004
A,9.1
A,2.8000000000000003
A,10.5
D,11.2
G,3.0
G,9.6
H,15.3
I,1.8
I,23.799999999999997
C,9.1
C,10.5
C,13.299999999999999
C,14.7
B,2.2
B,2.5
B,17.4
A,2.9000000000000004
D,24.5
D,27.900000000000002
G,6.4
G,36.0
H,2.6
H,27.0
I,7.0
I,7.0
C,9.1
C,9.1
C,9.1
C,9.1
B,0.9
B,1.0
B,1.1
B,3.9
A,1.5
D,14.4
D,15.399999999999999
D,19.599999999999998
G,6.0
G,6.800000000000001
G,26.599999999999998
H,3.8000000000000003
I,46.199999999999996
C,12.6
C,9.799999999999999
C,14.4
B,1.6
B,12.6
A,2.2
A,2.5
D,19.599999999999998
G,13.799999999999999
G,4.4
G,13.799999999999999
H,17.6
I,14.7
C,16.0
B,1.6
B,12.6
B,1.9000000000000001
B,2.0
B,2.2
B,2.4000000000000004
A,3.0
A,3.3000000000000003
A,26.400000000000002
A,19.8
A,3.3000000000000003
A,3.4000000000000004
A,3.6
A,3.8000000000000003
A,12.9
D,28.7
G,0.0
H,19.6
I,9.1
I,10.5
C,11.2
C,11.899999999999999
C,14.0
C,16.099999999999998
B,2.5
B,22.5
B,2.7
B,21.0
B,3.2
B,3.6
B,3.7
B,4.0
B,4.7
B,40.0
A,27.0
D,20.4
G,64.8
H,7.8
H,1.4000000000000001
H,1.6
H,1.7000000000000002
H,14.0
I,15.399999999999999
C,16.099999999999998
C,16.799999999999997
B,2.6
B,2.9000000000000004
A,38.0
D,18.9
G,7.199999999999999
G,6.6
H,0.8
H,0.9
I,7.699999999999999
C,8.399999999999999
C,11.2
C,11.2
B,13.299999999999999
A,17.6
D,11.2
D,16.799999999999997
D,21.7
D,26.599999999999998
G,21.0
H,3.3000000000000003
H,3.4000000000000004
H,3.4000000000000004
I,28.7
C,32.9
B,43.4
A,0.0
A,2.1
D,14.399999999999999
G,15.0
G,15.6
G,16.8
G,16.2
H,2.9000000000000004
H,2.7
H,2.6
H,2.5
H,2.8000000000000003
H,3.1
H,3.1
H,2.9000000000000004
I,23.799999999999997
C,31.499999999999996
B,9.799999999999999
B,9.799999999999999
B,6.0
B,11.899999999999999
B,13.299999999999999
A,2.0
D,12.6
G,1.7999999999999998
H,0.30000000000000004
H,20.0
I,14.0
I,29.4
C,9.799999999999999
B,1.5
A,1.7000000000000002
D,14.7
G,13.799999999999999
H,1.9000000000000001
H,13.799999999999999
H,2.7
H,2.9000000000000004
H,3.5
I,46.9
C,9.799999999999999
B,8.399999999999999
B,9.1
B,9.1
A,14.0
A,10.2
A,2.1
A,2.5
D,21.7
D,26.599999999999998
G,24.599999999999998
H,2.7
H,2.1
H,1.8
I,23.799999999999997
C,9.799999999999999
B,10.5
A,1.5
D,13.299999999999999
G,11.4
G,10.799999999999999
G,10.799999999999999
G,10.799999999999999
H,1.4000000000000001
H,1.5
I,19.599999999999998
C,11.2
C,14.4
C,15.399999999999999
C,16.799999999999997
B,16.099999999999998
B,16.099999999999998
A,2.5
D,23.099999999999998
G,22.2
H,20.7
I,8.399999999999999
C,9.1
B,9.799999999999999
A,4.5
D,13.299999999999999
D,15.399999999999999
D,16.099999999999998
G,10.799999999999999
G,11.4
H,6.3
H,1.1
H,13.5
I,10.5
C,11.899999999999999
B,10.5
B,13.299999999999999
A,2.1
D,28.0
D,49.699999999999996
G,9.0
H,13.5
H,14.4
I,6.3
I,10.5
C,11.2
C,14.7
C,14.0
C,16.799999999999997
B,11.2
B,16.099999999999998
A,26.1
D,10.5
G,4.5
G,9.0
G,9.0
H,10.4
H,11.200000000000001
I,10.5
C,12.6
B,16.099999999999998
B,25.9
A,1.6
D,10.5
G,6.6
G,6.6
H,10.4
H,14.4
I,14.0
C,18.2
C,18.2
C,23.099999999999998
B,9.799999999999999
B,11.899999999999999
B,11.899999999999999
B,14.0
A,2.1
D,18.2
D,24.5
G,23.4
H,15.200000000000001
H,16.0
H,24.8
I,26.599999999999998
C,9.799999999999999
C,9.799999999999999
B,9.1
A,1.3
D,11.2
D,17.5
G,5.4
H,20.8
I,15.399999999999999
C,9.799999999999999
C,11.899999999999999
C,11.2
C,11.2
C,11.2
C,11.899999999999999
C,12.6
C,13.299999999999999
B,10.5
A,1.6
D,12.6
D,14.0
D,21.0
G,13.2
G,13.799999999999999
H,2.6
H,1.9000000000000001
H,1.5
H,14.4
H,1.8
H,1.9000000000000001
I,23.799999999999997
C,9.799999999999999
C,9.799999999999999
C,9.799999999999999
C,1.4000000000000001
C,10.5
C,7.5
C,11.2
C,12.6
C,14.7
C,14.7
C,16.099999999999998
C,16.799999999999997
C,18.9
C,20.299999999999997
B,21.0
A,3.2
A,3.3000000000000003
D,25.9
G,22.8
H,3.7
H,4.1000000000000005
H,4.7
I,62.99999999999999
C,11.2
C,11.899999999999999
B,12.6
A,1.9000000000000001
D,16.799999999999997
D,22.4
G,30.6
G,9.0
H,3.6
H,5.2
H,6.6000000000000005
I,10.5
I,11.2
I,12.6
I,14.7
I,17.5
C,18.9
B,16.099999999999998
A,2.5
A,2.9000000000000004
A,3.1
A,21.0
D,29.4
G,29.4
H,9.799999999999999
I,7.699999999999999
C,7.699999999999999
C,9.1
C,9.799999999999999
C,11.899999999999999
B,13.299999999999999
A,2.0
A,0.0
A,2.7
A,3.1
A,3.8000000000000003
D,51.099999999999994
G,7.8
H,9.1
H,9.1
I,9.799999999999999
C,11.2
C,11.2
B,8.399999999999999
B,0.0
B,18.9
B,14.0
A,4.3
D,10.5
D,11.899999999999999
G,9.0
H,11.2
I,12.6
C,14.0
C,16.799999999999997
C,20.299999999999997
C,23.099999999999998
C,29.4
C,35.0
C,39.199999999999996
B,44.099999999999994
A,1.6
A,2.2
D,18.2
D,23.099999999999998
G,18.599999999999998
H,11.2
H,15.0
I,9.1
I,12.6
C,20.299999999999997
B,11.2
B,12.6
B,15.399999999999999
B,18.2
A,2.7
A,26.0
D,17.5
G,14.399999999999999
H,14.0
I,11.899999999999999
C,0.0
C,9.799999999999999
C,11.2
C,9.0
C,13.299999999999999
C,13.299999999999999
C,13.299999999999999
C,14.7
C,15.399999999999999
B,16.099999999999998
A,2.4000000000000004
A,2.4000000000000004
D,21.0
G,17.4
H,21.0
I,6.4
C,9.799999999999999
B,10.5
B,14.0
A,2.0
A,2.2
D,21.6
G,12.6
H,5.6
I,7.0
C,9.799999999999999
B,10.5
A,1.5
A,1.5
A,1.5
A,1.5
D,9.1
D,13.0
G,6.6
G,6.6
H,8.0
H,8.8
I,9.1
C,11.2
C,12.6
B,13.299999999999999
A,2.1
A,2.6
D,23.799999999999997
G,18.0
G,16.8
H,6.3
H,23.799999999999997
H,29.4
I,10.5
I,10.5
I,11.2
C,11.899999999999999
B,11.899999999999999
A,1.9000000000000001
A,2.4000000000000004
A,14.5
D,25.2
G,28.2
H,6.3
H,6.3
I,6.3
I,8.399999999999999
I,13.299999999999999
I,18.9
C,21.0
B,23.099999999999998
A,3.7
D,49.699999999999996
G,9.6
H,2.8
I,2.8
I,6.3
C,6.3
C,11.899999999999999
C,16.799999999999997
B,19.599999999999998
A,3.6
A,4.3
A,5.9
D,9.799999999999999
D,10.5
D,11.2
D,11.899999999999999
G,8.4
H,7.0
H,7.699999999999999
I,7.699999999999999
C,6.0
C,9.799999999999999
C,9.799999999999999
C,7.0
C,4.199999999999999
C,2.0999999999999996
C,0.0
C,0.7
C,0.7
C,0.0
C,0.7
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,1.4
C,2.8
C,2.8
C,4.199999999999999
C,4.8999999999999995
B,6.3
B,22.4
A,1.6
D,13.299999999999999
G,8.4
H,6.3
H,12.6
I,14.0
C,18.9
B,11.2
B,11.899999999999999
A,12.6
D,13.299999999999999
G,11.4
G,11.4
H,13.299999999999999
I,15.399999999999999
C,9.799999999999999
B,10.5
A,1.5
D,13.299999999999999
D,21.0
G,19.8
H,22.4
I,15.399999999999999
C,9.799999999999999
B,9.1
B,10.5
B,13.299999999999999
A,2.0
A,2.2
A,2.4000000000000004
A,2.7
D,9.9
G,24.0
H,23.799999999999997
I,26.599999999999998
C,9.799999999999999
C,10.5
C,11.2
C,7.6000000000000005
C,14.0
C,16.099999999999998
B,14.7
A,2.1
A,0.0
D,20.299999999999997
D,28.0
D,50.0
G,27.0
H,14.7
H,15.399999999999999
I,18.2
C,11.2
B,11.899999999999999
A,1.9000000000000001
A,16.0
D,15.399999999999999
D,16.099999999999998
D,16.099999999999998
D,16.799999999999997
G,15.0
H,7.699999999999999
H,6.3
H,11.2
H,8.399999999999999
H,14.7
I,9.1
I,10.5
C,11.2
B,7.0
B,7.699999999999999
A,1.2000000000000002
D,8.399999999999999
D,11.899999999999999
G,13.799999999999999
H,11.2
I,11.899999999999999
I,15.399999999999999
C,16.099999999999998
C,15.399999999999999
C,16.799999999999997
C,23.799999999999997
B,26.599999999999998
A,4.4
D,58.099999999999994
G,9.0
H,7.0
I,4.199999999999999
C,4.8999999999999995
B,5.6
A,0.9
A,1.5
A,1.7000000000000002
A,18.0
D,11.2
D,19.599999999999998
G,17.4
H,16.099999999999998
H,16.799999999999997
I,18.9
C,12.4
C,19.599999999999998
C,18.2
B,18.2
A,1.6
D,17.1
G,14.0
H,9.799999999999999
I,10.5
I,11.899999999999999
I,16.799999999999997
C,21.7
B,11.2
B,17.5
A,2.6
D,3.0
G,18.599999999999998
G,3.3000000000000003
G,20.4
H,16.099999999999998
H,16.799999999999997
I,11.899999999999999
C,2.8000000000000003
C,2.8000000000000003
C,2.8000000000000003
