id,count,mean,std,min,25%,50%,75%,max
0,25.0,32.52,33.85276945834712,7.0,7.0,28.0,35.0,120.0
1,32.0,35.03125,45.771863716310655,7.0,7.0,14.0,31.5,189.0
2,48.0,35.3125,37.61798814284057,7.0,7.0,21.0,36.75,147.0
3,47.0,41.723404255319146,38.742574114643915,7.0,10.5,28.0,52.5,140.0
4,42.0,34.857142857142854,34.195686098325204,7.0,7.0,21.0,47.25,133.0
5,52.0,30.173076923076923,27.105980205407214,7.0,7.0,21.0,42.0,120.0
6,10.0,28.1,35.82503779946831,7.0,7.0,14.0,26.25,120.0
7,32.0,44.875,44.67643529835099,7.0,19.25,28.0,52.5,210.0
8,39.0,30.0,31.21318884533807,7.0,7.0,21.0,38.5,133.0
9,33.0,37.78787878787879,48.579675261212365,7.0,7.0,14.0,42.0,203.0
10,35.0,17.62857142857143,25.2074752151557,7.0,7.0,7.0,14.0,120.0
11,23.0,16.17391304347826,24.022058374284864,7.0,7.0,7.0,14.0,120.0
12,20.0,16.5,25.632011235952593,7.0,7.0,7.0,14.0,120.0
13,41.0,20.853658536585368,22.547240380598414,7.0,7.0,14.0,21.0,120.0
14,48.0,33.270833333333336,33.15709839173001,7.0,14.0,21.0,42.0,189.0
15,37.0,38.054054054054056,29.106076060913185,7.0,21.0,35.0,42.0,133.0
16,35.0,34.02857142857143,29.400365858353567,7.0,14.0,21.0,49.0,120.0
17,42.0,33.357142857142854,27.201884286034332,7.0,8.75,28.0,49.0,120.0
18,49.0,32.59183673469388,37.43322853614761,7.0,7.0,21.0,35.0,189.0
19,49.0,32.16326530612245,27.952598968891003,7.0,7.0,21.0,49.0,120.0
20,33.0,21.454545454545453,27.611241946319286,7.0,7.0,7.0,21.0,120.0
21,43.0,33.06976744186046,25.791651795214307,7.0,10.5,21.0,52.5,120.0
22,24.0,53.416666666666664,64.19462029923005,7.0,14.0,21.0,78.75,259.0
23,51.0,39.13725490196079,39.84019056573055,7.0,14.0,28.0,52.5,175.0
24,34.0,31.735294117647058,34.07683726212956,7.0,7.0,21.0,42.0,120.0
25,20.0,38.9,45.65534499175085,7.0,7.0,21.0,49.0,189.0
26,46.0,39.43478260869565,37.710388886243145,7.0,14.0,28.0,56.0,168.0
27,52.0,28.692307692307693,28.344891618149564,7.0,7.0,14.0,49.0,120.0
28,46.0,24.52173913043478,27.47745672400056,7.0,7.0,14.0,33.25,120.0
29,41.0,21.195121951219512,22.163279892871362,7.0,7.0,14.0,28.0,120.0
30,39.0,38.07692307692308,49.69135507541296,7.0,14.0,28.0,42.0,294.0
31,24.0,54.583333333333336,68.62621926796267,7.0,7.0,7.0,98.25,217.0
32,31.0,30.06451612903226,36.77583942742025,7.0,7.0,14.0,31.5,154.0
33,13.0,30.23076923076923,44.658246431750705,7.0,7.0,7.0,14.0,126.0
34,42.0,42.19047619047619,40.759998381506286,7.0,7.0,21.0,63.0,154.0
35,23.0,34.73913043478261,38.69956235517675,7.0,14.0,21.0,35.0,147.0
36,27.0,24.925925925925927,32.068347593521516,7.0,7.0,14.0,24.5,148.0
37,49.0,31.306122448979593,35.27522978996301,7.0,7.0,21.0,35.0,148.0
38,41.0,47.65853658536585,41.97833355202274,7.0,21.0,35.0,70.0,154.0
39,47.0,49.319148936170215,46.99218546643812,7.0,14.0,35.0,66.5,217.0
40,28.0,30.035714285714285,30.540176504931683,7.0,7.0,21.0,36.75,134.0
41,44.0,35.18181818181818,32.621346076965466,7.0,12.25,24.5,43.75,155.0
42,38.0,19.18421052631579,22.602146828382875,7.0,7.0,14.0,21.0,127.0
43,49.0,38.02040816326531,52.86992284367926,7.0,7.0,21.0,49.0,287.0
44,39.0,36.46153846153846,46.42925923768679,7.0,7.0,14.0,38.5,224.0
45,40.0,40.625,52.53603769233322,7.0,7.0,21.0,43.75,238.0
46,21.0,27.047619047619047,32.330289498357715,7.0,7.0,14.0,42.0,127.0
47,43.0,19.88372093023256,21.990484199963344,7.0,7.0,14.0,21.0,134.0
48,23.0,18.304347826086957,27.118317832331268,7.0,7.0,7.0,17.5,134.0
49,35.0,25.428571428571427,33.5833342021672,7.0,7.0,14.0,24.5,147.0
50,42.0,35.69047619047619,38.30779586661122,7.0,14.0,24.5,42.0,168.0
51,39.0,40.41025641025641,28.69230407427083,7.0,21.0,35.0,49.0,127.0
52,40.0,25.4,27.5558174787662,7.0,7.0,14.0,35.0,148.0
53,34.0,36.26470588235294,35.209596508260496,7.0,14.0,24.5,42.0,147.0
54,52.0,32.46153846153846,37.52879236546596,7.0,7.0,17.5,36.75,161.0
55,52.0,41.75,50.707881198944555,7.0,14.0,28.0,57.75,294.0
56,45.0,22.42222222222222,28.085493577556182,7.0,7.0,14.0,28.0,148.0
57,44.0,41.86363636363637,32.47653242823759,7.0,19.25,28.0,63.0,155.0
58,27.0,42.81481481481482,52.96736080400184,7.0,14.0,21.0,31.5,182.0
59,51.0,39.0,38.925056197775746,7.0,14.0,28.0,42.0,161.0
60,35.0,33.82857142857143,35.8866563062141,7.0,7.0,21.0,45.5,148.0
61,23.0,30.47826086956522,33.806763128131344,7.0,7.0,14.0,42.0,127.0
62,47.0,42.765957446808514,35.665848215830664,7.0,14.0,35.0,56.0,161.0
63,52.0,32.46153846153846,35.487341868345744,7.0,7.0,21.0,36.75,148.0
64,37.0,31.81081081081081,39.271022563885616,7.0,7.0,14.0,35.0,140.0
65,41.0,27.853658536585368,25.373766941084796,7.0,7.0,21.0,35.0,141.0
66,37.0,46.189189189189186,54.08061772218595,7.0,14.0,28.0,56.0,301.0
67,27.0,55.0,78.15271047024636,7.0,7.0,7.0,77.0,245.0
68,38.0,31.157894736842106,37.510017628296396,7.0,7.0,14.0,33.25,155.0
69,17.0,25.58823529411765,29.387622444511845,7.0,14.0,14.0,28.0,127.0
70,40.0,46.225,45.7437049052822,7.0,7.0,28.0,63.0,196.0
71,28.0,30.285714285714285,39.788195851288975,7.0,7.0,14.0,29.75,134.0
72,23.0,37.47826086956522,43.97609843087016,7.0,7.0,14.0,49.0,162.0
73,40.0,39.75,43.375374083955485,7.0,14.0,21.0,56.0,161.0
74,33.0,34.18181818181818,34.136174494089246,7.0,14.0,21.0,42.0,169.0
75,48.0,44.0625,50.00783183343236,7.0,14.0,21.0,50.75,266.0
76,29.0,35.03448275862069,44.26098149339461,7.0,7.0,7.0,42.0,169.0
77,44.0,38.04545454545455,37.66989702201279,7.0,14.0,24.5,56.0,197.0
78,38.0,28.763157894736842,25.065788260286777,7.0,14.0,21.0,33.25,148.0
79,50.0,45.38,55.557614882467476,7.0,7.0,21.0,63.0,259.0
80,30.0,43.43333333333333,62.186972431771316,7.0,7.0,17.5,47.25,294.0
81,35.0,34.628571428571426,40.19517509403754,7.0,7.0,21.0,45.5,162.0
82,20.0,24.55,32.35896524271052,7.0,7.0,14.0,35.0,148.0
83,39.0,19.41025641025641,24.366411251986715,7.0,7.0,14.0,21.0,155.0
84,22.0,24.863636363636363,39.527320816229,7.0,7.0,7.0,14.0,176.0
85,42.0,27.023809523809526,36.736031422103295,7.0,7.0,17.5,28.0,176.0
86,30.0,37.13333333333333,53.742510838854265,7.0,7.0,21.0,35.0,245.0
87,39.0,35.92307692307692,29.550478324906504,7.0,14.0,28.0,49.0,155.0
88,38.0,31.894736842105264,40.60940476458972,7.0,8.75,14.0,35.0,189.0
89,37.0,45.24324324324324,50.84147771117453,7.0,14.0,21.0,49.0,217.0
90,50.0,37.96,43.62921694723126,7.0,8.75,28.0,42.0,189.0
91,48.0,42.604166666666664,35.64227682350162,7.0,14.0,38.5,63.0,162.0
92,41.0,21.536585365853657,30.636659054942342,7.0,7.0,7.0,21.0,155.0
93,41.0,37.24390243902439,33.87608336851005,7.0,14.0,28.0,49.0,183.0
94,28.0,44.035714285714285,69.72086256816304,7.0,7.0,21.0,29.75,259.0
95,49.0,36.734693877551024,39.585232679100216,7.0,7.0,21.0,49.0,183.0
96,42.0,30.69047619047619,41.765015173595216,7.0,7.0,14.0,33.25,175.0
97,25.0,33.92,46.20598806792614,7.0,7.0,7.0,42.0,141.0
98,45.0,41.86666666666667,40.9742713064053,7.0,14.0,28.0,56.0,182.0
99,50.0,47.76,44.52633249790831,7.0,14.0,35.0,68.25,196.0
100,41.0,28.195121951219512,36.84848674789449,7.0,7.0,7.0,35.0,162.0
101,48.0,26.416666666666668,28.33825572593791,7.0,7.0,14.0,35.0,169.0
102,33.0,50.303030303030305,63.0210703100979,7.0,14.0,28.0,56.0,280.0
103,26.0,55.23076923076923,72.94782118325821,7.0,8.75,21.0,73.5,329.0
104,32.0,35.03125,44.05750229035364,7.0,7.0,14.0,38.5,183.0
105,20.0,25.25,33.906799504399984,7.0,7.0,14.0,21.0,148.0
106,38.0,50.5,51.044098581520664,7.0,8.75,28.0,75.25,176.0
107,28.0,23.535714285714285,34.445321289402415,7.0,7.0,14.0,21.0,155.0
108,29.0,32.62068965517241,43.07171245484794,7.0,7.0,14.0,42.0,169.0
109,37.0,42.5945945945946,41.947360835707904,7.0,14.0,35.0,49.0,190.0
110,44.0,40.75,44.98740133714958,7.0,14.0,28.0,56.0,274.0
111,45.0,54.93333333333333,52.352563538865105,7.0,21.0,35.0,84.0,203.0
112,26.0,53.07692307692308,97.82470979335356,7.0,7.0,17.5,56.0,498.0
113,45.0,37.666666666666664,53.4109284016602,7.0,7.0,21.0,42.0,259.0
114,38.0,31.710526315789473,26.6619557835128,7.0,21.0,24.5,35.0,162.0
115,51.0,41.745098039215684,46.22979261785841,7.0,7.0,21.0,59.5,211.0
116,31.0,40.0,54.57655174156755,7.0,7.0,14.0,49.0,218.0
117,34.0,48.61764705882353,66.51863020231904,7.0,14.0,24.5,54.25,315.0
118,18.0,28.055555555555557,41.388364693789775,7.0,7.0,14.0,28.0,183.0
119,35.0,23.428571428571427,33.35749824365776,7.0,7.0,7.0,28.0,176.0
