crossroad,amount
C,7.2
C,6.3
C,0.0
C,2.6999999999999997
C,4.5
C,4.4
C,5.0
C,6.6
C,9.9
B,2.2
B,8.8
B,1.2000000000000002
B,1.4000000000000001
B,11.2
A,9.0
A,12.0
D,0.0
G,0.0
G,14.399999999999999
G,15.0
H,18.0
H,21.6
I,6.6
C,7.0
C,18.0
B,16.0
B,15.6
A,5.6000000000000005
D,14.0
G,11.600000000000001
G,12.0
H,5.4
I,1.7999999999999998
I,7.199999999999999
C,12.6
B,8.4
A,3.9
A,4.2
A,10.5
D,14.4
G,6.4
H,16.2
I,4.8
I,4.8
C,10.4
B,6.6
A,11.0
D,9.0
G,4.2
G,4.0
H,6.3
I,0.0
I,2.1
I,0.0
C,16.0
C,14.4
B,2.4000000000000004
B,16.2
A,4.2
A,5.7
D,0.0
G,14.0
G,15.600000000000001
G,21.6
H,79.0
I,4.2
I,3.9
I,3.9
I,4.2
I,13.5
C,13.5
B,10.8
B,7.8
B,9.6
B,3.4000000000000004
B,12.6
A,6.8999999999999995
D,8.1
D,26.1
G,0.0
G,14.4
H,8.1
H,8.1
I,2.4
I,2.6999999999999997
I,3.0
I,3.5999999999999996
C,13.5
B,7.199999999999999
A,4.5
D,15.3
G,6.4
H,5.4
H,5.4
I,1.7999999999999998
I,7.2
C,7.2
C,13.5
C,14.4
C,17.1
C,10.799999999999999
B,12.0
B,16.8
A,11.7
D,14.4
G,6.800000000000001
H,4.5
H,1.8
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
I,0.0
I,0.0
I,0.3
I,1.2
I,3.2
I,1.5
I,2.4
I,1.2000000000000002
I,5.1
C,15.399999999999999
C,19.8
C,20.7
C,20.7
B,11.0
A,4.5
A,4.5
D,15.3
G,7.2
G,8.4
H,18.900000000000002
H,19.8
H,24.3
I,7.8
I,19.599999999999998
C,25.9
B,9.6
A,5.3999999999999995
D,18.900000000000002
G,8.0
G,8.4
G,9.200000000000001
G,10.0
G,10.8
G,11.200000000000001
H,27.0
I,3.2
I,19.5
C,5.4
C,6.3
C,9.9
C,15.3
B,7.199999999999999
B,10.8
B,9.0
B,10.799999999999999
B,11.4
