crossroad,veics
3,C
25,H
6,D
23,A
15,F
10,E
18,G
28,I
33,B
35,C
22,H
4,D
12,A
13,F
11,E
17,G
26,I
31,B
34,C
61,H
7,D
0,A
14,F
46,E
20,G
29,I
30,B
71,C
24,H
42,D
1,A
16,F
9,E
19,G
27,I
69,B
2,C
21,H
5,D
37,A
51,F
47,E
56,G
62,I
32,B
39,C
58,H
78,D
36,A
50,F
45,E
55,G
64,I
67,B
38,C
60,H
40,D
48,A
52,F
8,E
54,G
65,I
105,B
70,C
96,H
114,D
72,A
86,F
83,E
53,G
63,I
66,B
75,C
57,H
41,D
73,A
88,F
82,E
90,G
99,I
68,B
111,C
94,H
43,D
59,A
35,F
44,E
6,G
100,I
11,B
13,C
28,H
77,D
84,A
26,F
81,E
42,G
98,I
103,B
107,C
9,H
79,D
95,A
49,F
118,E
91,G
14,I
104,B
106,C
27,H
10,D
108,A
29,F
119,E
5,G
21,I
47,B
16,C
93,H
115,D
7,A
34,F
80,E
78,G
50,I
102,B
30,C
64,H
113,D
32,A
71,F
117,E
24,G
101,I
0,B
74,C
97,H
20,D
43,A
62,F
31,E
114,G
86,I
2,B
52,C
17,H
46,D
68,A
85,F
67,E
89,G
57,I
83,B
66,C
45,H
19,D
11,A
70,F
116,E
60,G
35,I
36,B
88,C
63,H
1,D
79,A
65,F
25,E
96,G
34,I
38,B
26,C
99,H
82,D
104,A
107,F
15,E
28,G
9,I
72,B
49,C
81,H
56,D
47,A
98,F
103,E
41,G
71,I
108,B
102,C
117,H
37,D
2,A
8,F
61,E
27,G
18,I
7,B
29,C
53,H
55,D
115,A
21,F
97,E
64,G
93,I
13,B
62,C
100,H
73,D
83,A
44,F
4,E
77,G
70,I
43,B
0,C
31,H
91,D
20,A
101,F
51,E
92,G
17,I
119,B
85,C
67,H
24,D
109,A
57,F
40,E
23,G
107,I
25,B
36,C
5,H
32,D
38,A
9,F
7,E
59,G
54,I
79,B
72,C
103,H
68,D
19,A
80,F
113,G
45,I
74,B
65,C
34,H
60,D
13,A
18,F
43,E
1,G
81,I
61,B
98,C
89,H
104,D
3,A
116,F
63,G
90,I
26,B
21,C
41,H
96,D
39,A
93,F
79,E
99,G
117,I
97,B
101,C
70,H
2,D
56,A
17,F
14,G
8,I
115,B
57,C
77,H
109,D
22,A
4,F
100,G
53,I
49,B
12,C
23,H
28,D
55,A
54,F
37,G
30,I
29,B
9,C
7,H
27,D
119,A
45,F
50,G
44,I
20,B
108,C
59,H
64,D
91,A
81,F
34,G
5,I
62,B
18,C
43,H
92,D
74,A
87,F
115,E
73,G
89,I
85,B
25,C
113,H
38,D
24,A
90,F
32,G
66,I
65,B
93,C
79,H
63,D
58,A
117,F
68,G
80,I
19,B
48,C
8,H
99,D
26,A
53,F
70,G
41,I
98,B
17,C
1,H
14,D
75,A
106,F
104,G
102,I
56,B
61,C
30,H
3,D
49,A
12,F
87,E
2,G
77,I
22,B
54,C
44,H
100,D
111,A
5,F
28,E
109,G
23,I
21,B
45,C
115,H
39,D
60,A
40,F
64,E
95,G
116,I
101,B
97,C
37,H
74,D
16,A
89,F
86,G
59,I
55,B
81,C
66,H
118,D
96,A
38,G
106,I
57,B
90,C
80,H
75,D
27,A
48,F
22,E
7,G
113,I
18,B
117,C
73,H
15,D
29,A
41,F
8,G
1,I
93,B
20,C
102,H
51,D
92,A
77,F
30,G
4,I
91,B
110,C
32,H
50,D
62,A
10,F
43,G
12,I
9,B
53,C
68,H
86,D
94,A
28,F
100,E
3,G
37,I
24,B
5,C
116,H
7,D
85,A
23,F
44,G
17,B
19,C
104,H
111,D
65,A
59,F
39,G
0,I
58,B
89,C
22,H
87,D
34,A
64,F
66,G
73,I
54,B
56,C
2,H
43,D
63,A
113,F
10,E
79,G
48,I
90,B
41,C
33,H
16,D
98,A
1,F
9,E
74,G
36,I
60,B
77,C
11,H
76,D
99,A
37,F
80,G
72,I
110,B
55,C
109,H
29,D
14,A
20,F
58,E
75,G
32,I
96,B
23,C
47,H
112,D
50,A
100,F
115,G
92,B
84,C
106,H
10,D
21,A
6,F
15,G
68,I
94,B
59,C
69,H
13,D
86,A
42,F
102,G
104,I
53,B
91,C
105,H
79,D
7,A
78,F
33,E
51,G
2,I
45,B
35,C
9,H
65,D
101,A
114,F
11,E
26,G
34,B
113,C
95,H
49,D
52,A
73,F
47,E
111,G
109,I
31,B
24,C
4,H
115,D
57,A
46,F
94,E
116,G
108,I
89,B
27,C
38,H
43,A
56,F
76,E
87,G
40,I
81,B
60,C
3,H
18,A
82,F
69,E
106,G
20,I
14,B
1,C
83,H
93,A
84,F
6,E
16,G
9,I
117,B
96,C
39,H
101,D
79,A
35,F
42,E
29,G
95,I
33,B
71,C
58,H
8,D
17,A
109,F
78,E
4,G
23,B
37,C
74,H
85,D
115,A
27,F
45,E
65,G
38,I
67,B
63,C
0,H
52,D
54,A
105,E
62,G
28,I
11,B
107,C
94,H
44,D
70,A
9,F
114,E
19,I
50,B
92,C
36,H
18,D
90,A
76,F
31,E
56,I
47,B
73,C
119,H
110,A
71,F
46,E
101,G
64,I
86,B
34,C
75,H
6,D
53,A
95,F
81,E
98,G
84,I
59,B
99,C
72,H
42,D
89,A
63,F
112,E
35,I
69,B
14,C
26,H
78,D
30,A
107,F
13,E
3,I
7,B
109,C
108,H
54,D
23,A
83,E
12,G
27,I
105,B
50,C
25,H
114,D
11,A
49,E
52,G
55,I
103,B
9,C
45,H
80,D
66,A
82,E
0,G
71,I
43,B
86,C
40,H
90,D
47,A
92,F
117,E
18,G
39,I
95,C
61,H
46,D
88,A
34,F
67,E
36,G
74,I
79,B
28,H
110,D
102,A
99,F
8,E
6,G
100,I
115,B
19,H
5,A
112,F
7,E
42,G
75,I
83,B
111,H
116,D
22,A
13,F
103,E
78,G
63,I
70,B
32,C
31,H
82,D
41,A
14,F
119,E
21,G
26,I
30,B
81,H
12,D
59,A
15,F
85,E
54,G
45,I
95,B
68,C
117,H
4,D
106,A
3,F
43,E
114,G
107,I
66,B
104,C
67,H
77,A
51,F
25,E
72,G
91,I
102,B
2,C
64,H
88,D
83,A
49,F
44,E
57,G
92,I
22,B
70,C
16,H
5,D
113,A
39,F
79,E
108,G
34,I
119,B
13,C
62,H
41,D
1,A
118,F
80,E
40,G
29,I
30,C
27,H
95,A
8,F
116,E
90,G
99,I
106,B
66,C
55,H
37,A
50,F
15,E
48,G
24,I
32,B
38,C
98,H
77,D
12,A
75,F
115,E
110,G
111,I
25,B
3,C
100,H
119,A
87,F
22,E
93,G
60,I
68,B
49,C
52,H
113,D
73,A
85,F
51,E
28,G
65,I
104,B
102,C
63,H
1,D
26,F
118,E
88,G
81,I
9,B
39,C
91,H
15,D
45,F
61,E
17,G
101,I
2,B
106,C
7,H
37,D
58,A
44,F
4,E
5,G
117,I
13,B
25,C
103,H
109,A
80,F
87,E
53,G
16,I
38,B
75,C
21,H
48,D
32,A
10,F
19,G
14,I
85,C
34,H
51,D
29,F
9,E
64,G
62,I
49,B
26,C
99,H
118,D
68,A
111,F
41,G
8,I
45,C
57,H
73,D
104,A
116,F
77,G
76,I
61,B
110,H
28,D
2,A
65,F
10,E
89,G
96,I
58,B
93,H
87,D
13,A
81,F
113,G
50,I
43,H
109,D
0,A
101,F
27,G
44,I
29,C
88,H
19,D
38,A
117,F
1,G
98,I
85,B
111,C
79,H
32,D
48,A
4,F
55,G
18,I
26,B
61,C
97,H
10,D
36,A
86,F
58,E
15,G
112,I
74,C
24,H
64,D
49,A
16,F
100,G
52,I
65,C
17,H
68,D
94,A
70,F
37,G
80,I
81,C
60,H
104,D
19,A
62,F
28,E
51,G
54,I
101,C
5,H
2,D
85,A
98,F
73,G
30,I
29,B
117,C
11,H
40,D
26,A
18,F
87,G
66,I
0,B
8,H
38,D
72,A
106,F
97,E
20,G
116,I
53,H
27,D
23,G
21,I
41,H
55,D
56,G
57,I
36,B
16,C
76,H
100,D
108,A
52,F
64,E
84,G
110,I
94,B
62,C
77,H
29,A
54,F
109,G
102,I
74,B
96,H
28,F
11,E
92,G
86,I
65,B
12,C
44,H
27,A
7,G
93,I
97,B
98,C
112,H
55,A
21,F
40,E
14,G
88,I
19,B
0,C
89,H
20,D
3,A
94,E
43,G
4,I
45,B
18,C
113,H
13,D
39,A
46,F
32,G
90,I
101,B
36,C
80,H
29,D
75,A
57,F
100,E
68,G
17,I
72,B
52,C
1,H
