id,count,mean,std,min,25%,50%,75%,max
0,26.0,20.23076923076923,23.034422401801518,7.0,7.0,14.0,26.25,120.0
1,37.0,25.0,28.836705005176224,7.0,7.0,14.0,21.0,120.0
2,43.0,23.627906976744185,27.494608350949335,7.0,7.0,14.0,28.0,126.0
3,36.0,25.305555555555557,30.406596506533102,7.0,7.0,10.5,35.0,120.0
4,28.0,26.035714285714285,26.792041580728636,7.0,7.0,21.0,29.75,120.0
5,37.0,23.10810810810811,25.81642864510868,7.0,7.0,14.0,28.0,120.0
6,13.0,24.307692307692307,30.58699237525819,7.0,7.0,14.0,28.0,120.0
7,41.0,19.317073170731707,22.941707678800036,7.0,7.0,7.0,21.0,120.0
8,37.0,23.10810810810811,29.182170911347548,7.0,7.0,7.0,21.0,120.0
9,35.0,20.02857142857143,25.476039162879527,7.0,7.0,7.0,21.0,120.0
10,9.0,22.666666666666668,37.656340767525464,7.0,7.0,7.0,7.0,120.0
11,15.0,16.4,28.834007699242918,7.0,7.0,7.0,14.0,120.0
12,25.0,13.76,22.739979478149632,7.0,7.0,7.0,7.0,120.0
13,35.0,14.628571428571428,19.763432832150496,7.0,7.0,7.0,14.0,120.0
14,38.0,18.44736842105263,25.237999415747,7.0,7.0,7.0,19.25,120.0
15,18.0,21.833333333333332,29.098716365462707,7.0,7.0,7.0,26.25,120.0
16,43.0,22.162790697674417,23.70948196152166,7.0,7.0,14.0,24.5,120.0
17,33.0,28.242424242424242,28.667305313534335,7.0,7.0,14.0,42.0,120.0
18,34.0,19.58823529411765,22.257607003420574,7.0,7.0,14.0,21.0,120.0
19,37.0,16.10810810810811,21.57388310973322,7.0,7.0,7.0,14.0,120.0
20,32.0,17.96875,23.38663027899598,7.0,7.0,7.0,15.75,120.0
21,38.0,27.105263157894736,28.56456836966196,7.0,7.0,14.0,42.0,126.0
22,20.0,17.55,26.34682643427657,7.0,7.0,7.0,10.5,120.0
23,36.0,28.61111111111111,31.315243004716475,7.0,7.0,17.5,35.0,120.0
24,39.0,26.58974358974359,25.24273522246492,7.0,7.0,21.0,35.0,120.0
25,21.0,16.047619047619047,25.26356307110339,7.0,7.0,7.0,14.0,120.0
26,33.0,27.818181818181817,26.560608221403914,7.0,7.0,21.0,35.0,120.0
27,35.0,29.62857142857143,34.58245535654452,7.0,7.0,21.0,35.0,175.0
28,44.0,23.727272727272727,26.329189422479764,7.0,7.0,14.0,28.0,120.0
29,35.0,17.62857142857143,22.552012710862954,7.0,7.0,7.0,17.5,120.0
30,26.0,17.26923076923077,23.200961518536584,7.0,7.0,7.0,19.25,120.0
31,14.0,27.071428571428573,32.91823036115231,7.0,7.0,7.0,33.25,120.0
32,31.0,26.225806451612904,29.192133275272816,7.0,7.0,14.0,31.5,120.0
33,7.0,23.142857142857142,42.70998545004267,7.0,7.0,7.0,7.0,120.0
34,42.0,16.19047619047619,20.133987882692164,7.0,7.0,7.0,14.0,120.0
35,11.0,19.818181818181817,33.84026649368525,7.0,7.0,7.0,10.5,120.0
36,28.0,20.035714285714285,28.342458847901213,7.0,7.0,7.0,22.75,148.0
37,40.0,25.75,30.143035084452993,7.0,7.0,14.0,28.0,134.0
38,40.0,27.85,30.477019505665545,7.0,7.0,14.0,38.5,134.0
39,35.0,23.82857142857143,29.32223179280398,7.0,7.0,14.0,24.5,127.0
40,33.0,24.21212121212121,28.665917890150464,7.0,7.0,14.0,21.0,134.0
41,38.0,26.55263157894737,30.69087140310974,7.0,7.0,14.0,28.0,148.0
42,19.0,21.42105263157895,31.445394980777017,7.0,7.0,7.0,17.5,127.0
43,43.0,22.488372093023255,27.998615691140067,7.0,7.0,7.0,24.5,141.0
44,35.0,22.82857142857143,26.003942816750055,7.0,7.0,14.0,28.0,134.0
45,34.0,21.029411764705884,29.52706544143674,7.0,7.0,7.0,14.0,148.0
46,7.0,30.142857142857142,45.48783196793245,7.0,7.0,7.0,28.0,127.0
47,20.0,16.85,29.604898243365064,7.0,7.0,7.0,14.0,141.0
48,21.0,15.714285714285714,26.0194981833679,7.0,7.0,7.0,14.0,127.0
49,38.0,14.947368421052632,24.405302224545558,7.0,7.0,7.0,14.0,148.0
50,32.0,20.8125,26.057551069544804,7.0,7.0,7.0,21.0,134.0
51,21.0,24.714285714285715,30.56819074976937,7.0,7.0,14.0,21.0,127.0
52,38.0,25.07894736842105,27.577293420050005,7.0,7.0,14.0,33.25,148.0
53,37.0,29.91891891891892,33.322813655360946,7.0,7.0,14.0,28.0,141.0
54,44.0,18.318181818181817,23.57449619898463,7.0,7.0,10.5,21.0,148.0
55,42.0,18.69047619047619,22.7676365250863,7.0,7.0,7.0,21.0,127.0
56,42.0,18.023809523809526,22.695748065563226,7.0,7.0,7.0,21.0,134.0
57,36.0,27.833333333333332,31.65122430491434,7.0,7.0,14.0,35.0,141.0
58,23.0,18.91304347826087,28.050138621401533,7.0,7.0,7.0,14.0,127.0
59,33.0,28.454545454545453,30.22839198201224,7.0,14.0,14.0,28.0,148.0
60,41.0,26.658536585365855,31.141298749488243,7.0,7.0,14.0,42.0,155.0
61,14.0,25.571428571428573,34.60038747162831,7.0,7.0,10.5,31.5,134.0
62,38.0,28.026315789473685,29.53924264990581,7.0,7.0,21.0,28.0,148.0
63,36.0,29.38888888888889,34.93772237059028,7.0,7.0,17.5,36.75,168.0
64,44.0,22.931818181818183,25.30226364289459,7.0,7.0,14.0,35.0,148.0
65,39.0,18.871794871794872,24.214153633099407,7.0,7.0,7.0,21.0,127.0
66,27.0,21.037037037037038,28.297161425297496,7.0,7.0,7.0,24.5,141.0
67,15.0,29.933333333333334,30.44776948590268,7.0,10.5,21.0,35.0,127.0
68,33.0,27.181818181818183,33.67812211348651,7.0,7.0,14.0,35.0,155.0
69,11.0,19.181818181818183,38.13874193472611,7.0,7.0,7.0,7.0,134.0
70,40.0,19.975,26.485107087491592,7.0,7.0,7.0,21.0,148.0
71,11.0,21.727272727272727,40.0751566661714,7.0,7.0,7.0,10.5,141.0
72,28.0,19.785714285714285,31.770423169353414,7.0,7.0,10.5,14.0,169.0
73,43.0,25.25581395348837,29.930151243994274,7.0,7.0,14.0,28.0,162.0
74,43.0,24.930232558139537,32.272939681084445,7.0,7.0,14.0,28.0,176.0
75,34.0,26.38235294117647,31.384241081079118,7.0,7.0,14.0,28.0,155.0
76,29.0,29.24137931034483,42.1626571170795,7.0,7.0,14.0,28.0,169.0
77,39.0,24.435897435897434,34.446598542484544,7.0,7.0,14.0,28.0,183.0
78,22.0,21.681818181818183,31.721085617098176,7.0,7.0,10.5,21.0,155.0
79,49.0,21.020408163265305,30.412093123678048,7.0,7.0,7.0,21.0,169.0
80,31.0,28.70967741935484,39.06677492737027,7.0,7.0,14.0,28.0,169.0
81,38.0,18.63157894736842,28.860729001891585,7.0,7.0,7.0,14.0,176.0
82,6.0,37.5,61.53616822649912,7.0,7.0,10.5,24.5,162.0
83,20.0,20.7,35.50107485400229,7.0,7.0,7.0,15.75,162.0
84,23.0,15.565217391304348,30.71544782642547,7.0,7.0,7.0,10.5,155.0
85,41.0,18.121951219512194,25.23409907441835,7.0,7.0,7.0,21.0,162.0
86,42.0,18.857142857142858,35.85442887129024,7.0,7.0,7.0,14.0,183.0
87,19.0,31.736842105263158,43.20602080634283,7.0,7.0,7.0,35.0,155.0
88,36.0,25.694444444444443,30.208626435359665,7.0,7.0,14.0,35.0,169.0
89,36.0,30.944444444444443,35.3059642427609,7.0,7.0,14.0,42.0,169.0
90,37.0,24.81081081081081,30.940658110717756,7.0,7.0,14.0,28.0,176.0
91,41.0,25.121951219512194,26.6835109402335,7.0,7.0,14.0,28.0,155.0
92,33.0,20.606060606060606,28.851927355398846,7.0,7.0,7.0,28.0,162.0
93,39.0,27.487179487179485,34.97282538657076,7.0,7.0,14.0,24.5,169.0
94,21.0,19.38095238095238,34.278967590165536,7.0,7.0,7.0,14.0,162.0
95,38.0,29.5,36.359875419761,7.0,7.0,14.0,40.25,176.0
96,43.0,26.232558139534884,30.40272325623724,7.0,7.0,14.0,35.0,176.0
97,18.0,18.72222222222222,34.441434614438656,7.0,7.0,7.0,14.0,155.0
98,34.0,26.794117647058822,28.994021757643583,7.0,7.0,14.0,35.0,155.0
99,39.0,30.897435897435898,34.24278246794642,7.0,7.0,14.0,42.0,176.0
100,46.0,23.152173913043477,29.797067261583052,7.0,7.0,7.0,21.0,162.0
101,36.0,22.0,29.610808837314796,7.0,7.0,14.0,22.75,169.0
102,25.0,24.12,34.41332106418482,7.0,7.0,14.0,28.0,169.0
103,14.0,27.571428571428573,38.24760281219099,7.0,7.0,17.5,28.0,155.0
104,45.0,24.6,33.36601428236386,7.0,7.0,14.0,28.0,183.0
105,11.0,22.363636363636363,46.39670834719361,7.0,7.0,7.0,10.5,162.0
106,35.0,23.428571428571427,34.20464856117187,7.0,7.0,7.0,21.0,169.0
107,11.0,25.545454545454547,46.013831912510035,7.0,7.0,7.0,21.0,162.0
108,32.0,21.25,35.16046166528717,7.0,7.0,7.0,21.0,197.0
109,40.0,25.225,32.21521180738801,7.0,7.0,14.0,28.0,183.0
110,39.0,28.384615384615383,39.43790281109851,7.0,7.0,14.0,31.5,232.0
111,40.0,25.75,35.466669076537414,7.0,7.0,14.0,21.0,183.0
112,28.0,30.785714285714285,48.417441870143016,7.0,7.0,14.0,35.0,253.0
113,36.0,25.88888888888889,39.94051131926636,7.0,7.0,7.0,35.0,218.0
114,17.0,23.11764705882353,44.832859535363646,7.0,7.0,7.0,14.0,190.0
115,40.0,26.8,37.74353400218849,7.0,7.0,7.0,36.75,176.0
116,37.0,27.45945945945946,44.14344961762893,7.0,7.0,7.0,28.0,197.0
117,34.0,28.029411764705884,39.73204591222011,7.0,7.0,14.0,38.5,204.0
118,11.0,30.0,55.05996730838114,7.0,7.0,7.0,17.5,190.0
119,21.0,20.714285714285715,38.19835448961494,7.0,7.0,7.0,14.0,183.0
