id,count,mean,std,min,25%,50%,75%,max
0,32.0,17.3125,21.341217881019848,7.0,7.0,10.5,21.0,120.0
1,42.0,23.023809523809526,23.813798106465857,7.0,7.0,14.0,33.25,120.0
2,36.0,24.72222222222222,26.05336403955884,7.0,7.0,17.5,28.0,120.0
3,30.0,29.433333333333334,29.311270438393546,7.0,7.0,21.0,35.0,120.0
4,30.0,25.233333333333334,29.212282883478444,7.0,7.0,14.0,28.0,120.0
5,38.0,20.842105263157894,22.5214928166701,7.0,7.0,10.5,26.25,120.0
6,10.0,28.1,34.11239592223853,7.0,7.0,21.0,31.5,120.0
7,42.0,16.69047619047619,21.976137940777996,7.0,7.0,7.0,14.0,120.0
8,41.0,21.365853658536587,25.041721284249785,7.0,7.0,7.0,28.0,120.0
9,34.0,21.235294117647058,23.406886869918786,7.0,7.0,14.0,21.0,120.0
10,9.0,23.444444444444443,38.01352098632509,7.0,7.0,7.0,7.0,120.0
11,17.0,15.705882352941176,27.40840360610764,7.0,7.0,7.0,7.0,120.0
12,17.0,14.470588235294118,27.292667621219316,7.0,7.0,7.0,7.0,120.0
13,36.0,15.38888888888889,20.214955959498017,7.0,7.0,7.0,14.0,120.0
14,36.0,16.75,21.905478766737787,7.0,7.0,7.0,21.0,120.0
15,16.0,20.1875,29.46685991641005,7.0,7.0,7.0,14.0,120.0
16,42.0,23.023809523809526,27.5375469577564,7.0,7.0,14.0,28.0,126.0
17,43.0,24.767441860465116,22.774084278597947,7.0,7.0,14.0,28.0,120.0
18,38.0,17.342105263157894,19.449555425738925,7.0,7.0,14.0,21.0,120.0
19,33.0,21.242424242424242,25.926615551193603,7.0,7.0,7.0,21.0,120.0
20,37.0,16.864864864864863,21.42060555498706,7.0,7.0,7.0,14.0,120.0
21,42.0,22.023809523809526,21.06029450520008,7.0,7.0,14.0,28.0,120.0
22,23.0,17.08695652173913,24.78620041929171,7.0,7.0,7.0,14.0,120.0
23,32.0,25.40625,30.051417630669324,7.0,7.0,7.0,29.75,120.0
24,41.0,20.682926829268293,20.585722023274098,7.0,7.0,14.0,28.0,120.0
25,19.0,16.63157894736842,26.223845226807075,7.0,7.0,7.0,14.0,120.0
26,38.0,22.86842105263158,22.41279925427696,7.0,7.0,14.0,33.25,120.0
27,42.0,21.69047619047619,24.28839740592614,7.0,7.0,7.0,28.0,120.0
28,41.0,23.073170731707318,27.657178312241506,7.0,7.0,7.0,21.0,120.0
29,43.0,14.674418604651162,17.745181680338387,7.0,7.0,7.0,14.0,120.0
30,32.0,14.6875,21.22451032909069,7.0,7.0,7.0,14.0,120.0
31,13.0,30.76923076923077,32.62706914550618,7.0,7.0,21.0,42.0,120.0
32,35.0,23.428571428571427,26.186307282158555,7.0,7.0,14.0,28.0,120.0
33,12.0,17.583333333333332,32.365689839518005,7.0,7.0,7.0,8.75,120.0
34,39.0,20.128205128205128,22.6659720461956,7.0,7.0,14.0,21.0,120.0
35,10.0,26.0,34.44480286551869,7.0,7.0,14.0,26.25,120.0
36,33.0,19.333333333333332,23.427636813530015,7.0,7.0,14.0,21.0,127.0
37,45.0,23.044444444444444,27.473090599179173,7.0,7.0,14.0,28.0,134.0
38,46.0,24.217391304347824,24.20093023324908,7.0,7.0,21.0,28.0,134.0
39,39.0,24.794871794871796,28.055564686021775,7.0,7.0,14.0,28.0,141.0
40,29.0,29.0,32.349652239243625,7.0,7.0,14.0,28.0,141.0
41,39.0,23.358974358974358,24.294776544381524,7.0,14.0,14.0,28.0,148.0
42,18.0,17.166666666666668,28.046704745100154,7.0,7.0,7.0,14.0,127.0
43,44.0,19.59090909090909,23.878878651770098,7.0,7.0,14.0,28.0,148.0
44,39.0,23.53846153846154,26.687121035244655,7.0,7.0,14.0,31.5,155.0
45,34.0,22.264705882352942,28.689887167231056,7.0,7.0,14.0,26.25,155.0
46,12.0,19.333333333333332,34.848590250169984,7.0,7.0,7.0,7.0,127.0
47,18.0,16.38888888888889,29.639280154966237,7.0,7.0,7.0,14.0,134.0
48,24.0,16.958333333333332,28.719754096480678,7.0,7.0,7.0,14.0,148.0
