id,count,mean,std,min,25%,50%,75%,max
0,41.0,10.268292682926829,21.13530741466031,0.0,0.0,7.0,14.0,120.0
1,52.0,7.423076923076923,19.106867827826868,0.0,0.0,0.0,7.0,134.0
2,50.0,12.06,19.45419528753925,0.0,0.0,7.0,14.0,120.0
3,51.0,9.07843137254902,21.81636370915639,0.0,0.0,7.0,7.0,134.0
4,45.0,13.866666666666667,23.35652527083754,0.0,0.0,7.0,14.0,134.0
5,53.0,10.981132075471699,21.09638190455866,0.0,0.0,7.0,14.0,141.0
6,35.0,7.428571428571429,21.964256678261876,0.0,0.0,0.0,7.0,127.0
7,54.0,12.333333333333334,20.939265273372875,0.0,0.0,7.0,14.0,120.0
8,55.0,11.345454545454546,21.89386704402432,0.0,0.0,0.0,21.0,141.0
9,58.0,8.224137931034482,20.67207889243429,0.0,0.0,0.0,7.0,127.0
10,24.0,6.75,24.4046503052541,0.0,0.0,0.0,1.75,120.0
11,35.0,9.628571428571428,23.067784659035425,0.0,0.0,0.0,14.0,134.0
12,43.0,13.372093023255815,22.663189427765012,0.0,0.0,7.0,14.0,127.0
13,59.0,8.440677966101696,18.6198551667028,0.0,0.0,0.0,7.0,127.0
14,53.0,13.09433962264151,20.52321776291371,0.0,0.0,7.0,14.0,134.0
15,36.0,8.972222222222221,21.090940656542035,0.0,0.0,0.0,14.0,120.0
16,51.0,12.92156862745098,21.551652500219003,0.0,0.0,7.0,14.0,141.0
17,50.0,11.36,18.444356473303312,0.0,0.0,7.0,14.0,120.0
18,52.0,12.26923076923077,21.983162348662717,0.0,0.0,7.0,14.0,141.0
19,53.0,14.150943396226415,20.30573642558171,0.0,0.0,7.0,21.0,127.0
20,54.0,14.666666666666666,23.3827867667892,0.0,0.0,7.0,14.0,134.0
21,50.0,13.04,24.432297126081757,0.0,0.0,7.0,14.0,134.0
22,33.0,12.121212121212121,25.33618654187817,0.0,0.0,0.0,14.0,127.0
23,50.0,13.18,27.13811236724365,0.0,0.0,7.0,7.0,141.0
24,50.0,11.92,21.308080291623778,0.0,0.0,7.0,14.0,148.0
25,36.0,11.305555555555555,22.229734841223614,0.0,0.0,3.5,14.0,120.0
26,52.0,10.384615384615385,20.51413080279709,0.0,0.0,7.0,14.0,134.0
27,49.0,12.591836734693878,19.495638793658163,0.0,0.0,7.0,14.0,120.0
28,55.0,9.818181818181818,19.7522534195852,0.0,0.0,7.0,14.0,127.0
29,55.0,11.472727272727273,21.30019522207054,0.0,0.0,7.0,17.5,141.0
30,41.0,10.439024390243903,23.15172648042453,0.0,0.0,0.0,14.0,141.0
31,24.0,9.666666666666666,25.797988911619793,0.0,0.0,0.0,7.0,127.0
32,52.0,11.192307692307692,20.874074793669404,0.0,0.0,7.0,14.0,134.0
33,23.0,7.3478260869565215,25.306500594353537,0.0,0.0,0.0,0.0,120.0
34,54.0,11.166666666666666,21.11670178649172,0.0,0.0,7.0,14.0,141.0
35,21.0,9.047619047619047,27.60702119113214,0.0,0.0,0.0,7.0,127.0
36,40.0,9.125,23.67318888098669,0.0,0.0,7.0,7.0,148.0
37,51.0,10.03921568627451,23.140406897298696,0.0,0.0,0.0,10.5,155.0
38,50.0,9.96,22.04074149647161,0.0,0.0,7.0,12.25,148.0
39,50.0,9.26,22.556785485271867,0.0,0.0,7.0,7.0,155.0
40,45.0,12.155555555555555,26.679883088502496,0.0,0.0,7.0,14.0,169.0
41,52.0,12.0,22.703545546723685,0.0,0.0,7.0,14.0,155.0
42,35.0,9.228571428571428,25.499810511736236,0.0,0.0,0.0,7.0,148.0
43,54.0,12.722222222222221,25.04065876120212,0.0,0.0,7.0,14.0,162.0
44,54.0,11.944444444444445,23.342742936483322,0.0,0.0,7.0,14.0,162.0
45,55.0,12.872727272727273,28.388870110096775,0.0,0.0,7.0,10.5,176.0
46,23.0,9.478260869565217,30.68886319352139,0.0,0.0,0.0,7.0,148.0
47,35.0,10.428571428571429,26.645036745954723,0.0,0.0,0.0,7.0,155.0
