id,count,mean,std,min,25%,50%,75%,max
0,56.0,12.339285714285714,15.621985423480224,7.0,7.0,7.0,7.0,110.0
1,69.0,14.884057971014492,15.698010581977707,7.0,7.0,7.0,14.0,110.0
2,80.0,14.325,14.434290220763028,7.0,7.0,7.0,15.75,110.0
3,68.0,14.794117647058824,17.257106538336743,7.0,7.0,7.0,14.0,110.0
4,47.0,15.0,18.408410176258876,7.0,7.0,7.0,14.0,110.0
5,73.0,14.643835616438356,15.087126468738633,7.0,7.0,7.0,14.0,110.0
6,30.0,14.4,19.453924344815192,7.0,7.0,7.0,14.0,110.0
7,80.0,13.0125,15.179511299483234,7.0,7.0,7.0,8.75,110.0
8,83.0,15.74698795180723,19.277715792665372,7.0,7.0,7.0,14.0,110.0
9,65.0,14.076923076923077,15.13203110572455,7.0,7.0,7.0,14.0,110.0
10,19.0,13.526315789473685,23.507370997797054,7.0,7.0,7.0,7.0,110.0
11,31.0,14.612903225806452,19.501585267792702,7.0,7.0,7.0,14.0,110.0
12,33.0,12.878787878787879,18.85762043537966,7.0,7.0,7.0,7.0,110.0
13,70.0,13.17142857142857,14.767739446658355,7.0,7.0,7.0,14.0,110.0
14,74.0,13.027027027027026,14.897800677044858,7.0,7.0,7.0,14.0,110.0
15,31.0,12.580645161290322,18.46758275744895,7.0,7.0,7.0,14.0,110.0
16,77.0,13.155844155844155,15.318603185484646,7.0,7.0,7.0,14.0,110.0
17,76.0,15.171052631578947,16.022807209636923,7.0,7.0,7.0,14.0,110.0
18,76.0,13.789473684210526,14.459429024664088,7.0,7.0,7.0,14.0,110.0
19,87.0,13.091954022988507,15.934190374210498,7.0,7.0,7.0,14.0,110.0
20,70.0,12.371428571428572,14.505542597419396,7.0,7.0,7.0,12.25,110.0
21,72.0,14.458333333333334,15.15454424480016,7.0,7.0,7.0,14.0,110.0
22,38.0,14.131578947368421,22.98903505096897,7.0,7.0,7.0,7.0,110.0
23,66.0,15.136363636363637,18.48649100425361,7.0,7.0,7.0,14.0,110.0
24,78.0,15.679487179487179,18.13119116991747,7.0,7.0,7.0,14.0,110.0
25,34.0,13.735294117647058,19.074509125944026,7.0,7.0,7.0,12.25,110.0
26,79.0,14.063291139240507,13.475849026248916,7.0,7.0,7.0,14.0,110.0
27,83.0,14.060240963855422,15.129803730281438,7.0,7.0,7.0,14.0,110.0
28,87.0,14.137931034482758,15.616905280923236,7.0,7.0,7.0,14.0,110.0
29,74.0,13.68918918918919,13.82961451703353,7.0,7.0,7.0,14.0,110.0
30,49.0,12.387755102040817,15.797964434448792,7.0,7.0,7.0,14.0,110.0
31,21.0,19.571428571428573,25.033120917239685,7.0,7.0,7.0,14.0,110.0
32,72.0,13.38888888888889,14.329675261995334,7.0,7.0,7.0,14.0,110.0
33,18.0,13.11111111111111,24.23630938922957,7.0,7.0,7.0,7.0,110.0
34,72.0,14.36111111111111,15.934112185572499,7.0,7.0,7.0,14.0,110.0
35,23.0,13.304347826086957,21.61950883011305,7.0,7.0,7.0,7.0,110.0
36,59.0,15.508474576271187,17.70872849400381,7.0,7.0,7.0,14.0,124.0
37,81.0,15.444444444444445,17.51856158478772,7.0,7.0,7.0,14.0,117.0
38,80.0,16.3375,16.437025008779433,7.0,7.0,14.0,21.0,117.0
39,78.0,14.423076923076923,17.64183283375811,7.0,7.0,7.0,14.0,131.0
40,57.0,16.912280701754387,19.434212011070272,7.0,7.0,7.0,21.0,117.0
41,79.0,15.037974683544304,16.61050257654791,7.0,7.0,7.0,14.0,124.0
42,25.0,15.88,26.385475802670932,7.0,7.0,7.0,14.0,138.0
43,88.0,14.295454545454545,19.76538195757787,7.0,7.0,7.0,14.0,138.0
44,72.0,16.791666666666668,20.50691226645848,7.0,7.0,7.0,14.0,138.0
45,68.0,15.720588235294118,20.332200465473914,7.0,7.0,7.0,14.0,131.0
46,23.0,13.0,24.40752492014036,7.0,7.0,7.0,7.0,124.0
47,39.0,12.333333333333334,19.059923970320188,7.0,7.0,7.0,7.0,124.0
48,45.0,12.555555555555555,19.154343864744856,7.0,7.0,7.0,14.0,131.0
49,70.0,13.771428571428572,16.10938283488573,7.0,7.0,7.0,14.0,117.0
50,74.0,14.067567567567568,16.737564249792143,7.0,7.0,7.0,14.0,131.0
51,40.0,11.85,18.52586549415957,7.0,7.0,7.0,14.0,124.0
52,88.0,14.931818181818182,19.802354123692602,7.0,7.0,7.0,14.0,138.0
53,81.0,16.65432098765432,17.39982794011708,7.0,7.0,7.0,21.0,124.0
54,79.0,15.39240506329114,16.686719517151257,7.0,7.0,14.0,17.5,131.0
55,65.0,16.76923076923077,21.210823615822616,7.0,7.0,7.0,14.0,138.0
56,73.0,14.931506849315069,16.626893181365414,7.0,7.0,7.0,14.0,117.0
57,79.0,15.39240506329114,16.49741061385166,7.0,7.0,7.0,21.0,131.0
58,50.0,15.08,21.647302702316384,7.0,7.0,7.0,14.0,138.0
59,80.0,13.7125,17.576735018883642,7.0,7.0,7.0,14.0,145.0
60,91.0,14.362637362637363,16.427968349072994,7.0,7.0,7.0,14.0,124.0
61,39.0,13.23076923076923,18.69486495561019,7.0,7.0,7.0,10.5,117.0
