id,count,mean,std,min,25%,50%,75%,max
0,9.0,18.0,38.52920969861697,0.0,0.0,7.0,7.0,120.0
1,10.0,21.8,40.64698977510854,0.0,0.0,10.5,19.25,134.0
2,10.0,28.1,45.417691119944294,0.0,7.0,7.0,26.25,148.0
3,10.0,19.0,38.37533930360313,0.0,7.0,7.0,7.0,127.0
4,9.0,25.77777777777778,43.32083152992847,0.0,7.0,7.0,21.0,134.0
5,11.0,22.363636363636363,40.96406407394835,0.0,3.5,7.0,21.0,141.0
6,9.0,15.666666666666666,39.271490931717885,0.0,0.0,0.0,7.0,120.0
7,11.0,16.0,37.3496987939662,0.0,0.0,0.0,14.0,127.0
8,12.0,24.583333333333332,38.424562062526746,0.0,0.0,7.0,31.5,134.0
9,11.0,19.181818181818183,44.57088328004771,0.0,0.0,0.0,10.5,148.0
10,5.0,26.8,52.21781305263559,0.0,0.0,7.0,7.0,120.0
11,7.0,23.142857142857142,46.92699497243412,0.0,0.0,0.0,17.5,127.0
12,9.0,22.666666666666668,39.73663297261105,0.0,7.0,14.0,14.0,127.0
13,12.0,17.0,35.779628536107225,0.0,0.0,7.0,10.5,127.0
14,9.0,20.333333333333332,42.83106349368411,0.0,7.0,7.0,7.0,134.0
15,8.0,30.75,45.48076516506731,0.0,5.25,7.0,36.75,120.0
16,9.0,25.77777777777778,44.31923334675866,0.0,7.0,7.0,21.0,141.0
17,10.0,22.5,38.612749765387655,0.0,1.75,7.0,24.5,127.0
18,12.0,21.083333333333332,38.73795022815208,0.0,5.25,10.5,15.75,141.0
19,12.0,24.0,39.11056588233369,0.0,5.25,7.0,19.25,134.0
20,13.0,25.923076923076923,37.94395326983721,0.0,0.0,7.0,28.0,120.0
21,11.0,17.272727272727273,34.923032254060956,0.0,0.0,7.0,14.0,120.0
22,6.0,38.666666666666664,47.82328582047314,7.0,14.0,21.0,33.25,134.0
23,9.0,23.444444444444443,47.156948350988294,0.0,7.0,7.0,14.0,148.0
24,9.0,25.77777777777778,46.89023826389076,0.0,0.0,14.0,21.0,148.0
25,8.0,26.375,42.46321937865757,0.0,0.0,14.0,24.5,127.0
26,12.0,22.833333333333332,36.358901206853005,0.0,7.0,14.0,21.0,134.0
27,9.0,20.333333333333332,38.095275297600885,0.0,0.0,7.0,14.0,120.0
28,11.0,16.0,37.08638564217333,0.0,0.0,7.0,7.0,127.0
29,12.0,20.5,38.67698399447779,0.0,5.25,10.5,15.75,141.0
30,9.0,24.22222222222222,44.20061588308973,0.0,7.0,7.0,14.0,141.0
31,6.0,24.666666666666668,46.996453766924446,0.0,1.75,7.0,12.25,120.0
32,11.0,20.454545454545453,45.06076705153528,0.0,3.5,7.0,10.5,155.0
33,7.0,20.142857142857142,47.40755414990517,0.0,0.0,0.0,7.0,127.0
34,12.0,23.416666666666668,36.38295888145571,0.0,7.0,14.0,22.75,134.0
35,6.0,22.333333333333332,47.96943471281131,0.0,0.0,3.5,7.0,120.0
36,9.0,21.88888888888889,45.21184702167244,0.0,0.0,7.0,14.0,141.0
37,10.0,23.9,46.41707061463966,0.0,7.0,7.0,14.0,155.0
38,9.0,39.0,61.08600494384945,0.0,7.0,7.0,35.0,162.0
39,9.0,28.11111111111111,50.0610738110072,0.0,0.0,7.0,21.0,155.0
40,8.0,36.0,54.86346689738081,0.0,0.0,14.0,49.0,162.0
41,9.0,23.444444444444443,54.779355397611035,0.0,0.0,7.0,7.0,169.0
42,9.0,18.77777777777778,48.57668622337721,0.0,0.0,0.0,7.0,148.0
43,11.0,23.0,44.797321348491366,0.0,0.0,14.0,17.5,155.0
44,10.0,23.9,47.23099264960103,0.0,0.0,7.0,21.0,155.0
45,11.0,21.727272727272727,58.484341338671,0.0,0.0,0.0,7.0,197.0
46,5.0,29.6,62.348215692191225,0.0,0.0,0.0,7.0,141.0
47,7.0,26.142857142857142,60.14545860226016,0.0,0.0,0.0,10.5,162.0
48,9.0,33.55555555555556,50.16002170830648,0.0,7.0,21.0,21.0,162.0
49,11.0,19.818181818181817,47.54959133750401,0.0,0.0,7.0,14.0,162.0
50,9.0,27.333333333333332,48.376130477746976,0.0,7.0,14.0,21.0,155.0
51,8.0,34.25,48.74935897014442,0.0,7.0,17.5,33.25,148.0
52,9.0,28.88888888888889,53.57341795248004,0.0,7.0,7.0,21.0,169.0
53,9.0,23.444444444444443,54.891053713494856,0.0,0.0,7.0,14.0,169.0
54,10.0,30.9,48.25729651220286,0.0,7.0,14.0,33.25,162.0
55,10.0,23.2,44.466716641651075,0.0,7.0,7.0,19.25,148.0
56,8.0,47.375,61.01741554671092,0.0,10.5,21.0,59.5,155.0
57,9.0,25.77777777777778,51.53100469081158,0.0,7.0,7.0,14.0,162.0
58,5.0,39.4,65.65668282817828,0.0,0.0,14.0,28.0,155.0
59,9.0,39.0,60.842008513854964,0.0,14.0,14.0,21.0,190.0
60,9.0,30.444444444444443,54.20127099780758,0.0,0.0,14.0,21.0,169.0
61,8.0,22.875,48.229918100697624,0.0,0.0,7.0,14.0,141.0
