id,count,mean,std,min,25%,50%,75%,max
0,25.0,25.52,27.095694614950666,7.0,7.0,14.0,35.0,120.0
1,48.0,35.75,29.73177968780637,7.0,14.0,21.0,49.0,126.0
2,50.0,33.9,39.70156528040532,7.0,7.0,21.0,42.0,217.0
3,53.0,42.0188679245283,40.41253164648776,7.0,14.0,28.0,56.0,245.0
4,43.0,32.41860465116279,27.908210567040367,7.0,14.0,21.0,49.0,120.0
5,37.0,27.45945945945946,27.571719201016464,7.0,7.0,14.0,42.0,126.0
6,40.0,33.275,33.869271679541086,7.0,7.0,14.0,50.75,126.0
7,35.0,36.82857142857143,36.13576175080476,7.0,21.0,28.0,42.0,189.0
8,36.0,37.361111111111114,37.702711367280266,7.0,7.0,21.0,56.0,154.0
9,34.0,21.852941176470587,22.846168504363447,7.0,7.0,14.0,26.25,120.0
10,20.0,16.85,25.441935957453353,7.0,7.0,7.0,14.0,120.0
11,19.0,16.263157894736842,25.894748728186308,7.0,7.0,7.0,14.0,120.0
12,22.0,23.59090909090909,26.32518093983689,7.0,7.0,14.0,28.0,120.0
13,34.0,15.676470588235293,21.118311152969934,7.0,7.0,7.0,14.0,120.0
14,40.0,33.275,37.69648524730124,7.0,12.25,21.0,35.0,175.0
15,40.0,27.5,35.667265751019464,7.0,7.0,21.0,29.75,189.0
16,48.0,41.0,49.6781128226206,7.0,7.0,21.0,57.75,224.0
17,38.0,37.421052631578945,60.718950058110494,7.0,7.0,14.0,40.25,343.0
18,54.0,35.53703703703704,30.574815732771675,7.0,14.0,24.5,42.0,120.0
19,40.0,43.775,32.226352888789954,7.0,14.0,35.0,63.0,120.0
20,51.0,34.333333333333336,55.31316901666969,7.0,7.0,14.0,35.0,322.0
21,43.0,41.69767441860465,36.06841045233543,7.0,14.0,28.0,59.5,133.0
22,24.0,14.625,23.540552429704196,7.0,7.0,7.0,8.75,120.0
23,40.0,42.2,52.90979260823231,7.0,14.0,21.0,49.0,287.0
24,44.0,33.11363636363637,30.16020472841725,7.0,14.0,21.0,49.0,154.0
25,34.0,36.88235294117647,67.14153513102337,7.0,7.0,7.0,35.0,364.0
26,41.0,25.975609756097562,24.756300011187097,7.0,7.0,21.0,28.0,120.0
27,37.0,33.7027027027027,31.50384885204493,7.0,7.0,21.0,42.0,120.0
28,39.0,27.307692307692307,31.126358643907416,7.0,7.0,14.0,35.0,126.0
29,31.0,20.35483870967742,24.60832973757297,7.0,7.0,7.0,24.5,120.0
30,39.0,33.58974358974359,29.78229600275441,7.0,14.0,21.0,45.5,140.0
31,12.0,66.58333333333333,70.7960686290795,7.0,12.25,42.0,93.0,245.0
32,43.0,36.81395348837209,34.0120817567281,7.0,14.0,21.0,52.5,133.0
33,10.0,21.1,35.38816500218996,7.0,7.0,7.0,12.25,120.0
34,54.0,29.833333333333332,35.925893326690634,7.0,7.0,14.0,42.0,196.0
35,19.0,25.473684210526315,31.662049524895874,7.0,7.0,14.0,24.5,120.0
36,40.0,22.425,24.523026855464767,7.0,7.0,14.0,21.0,127.0
37,51.0,43.254901960784316,31.950488658081525,7.0,21.0,42.0,63.0,148.0
38,49.0,40.16326530612245,43.93714589178098,7.0,14.0,28.0,49.0,224.0
39,45.0,45.91111111111111,43.87990957883192,7.0,14.0,42.0,63.0,259.0
40,38.0,46.63157894736842,44.097815753122084,7.0,14.0,28.0,61.25,203.0
41,40.0,27.85,31.909768619238427,7.0,7.0,14.0,36.75,162.0
42,23.0,18.608695652173914,26.17552488044506,7.0,7.0,7.0,21.0,127.0
43,32.0,50.5625,73.94371769864411,7.0,14.0,21.0,42.0,322.0
44,48.0,41.729166666666664,42.15863636987534,7.0,12.25,28.0,63.0,189.0
45,56.0,20.142857142857142,21.586551850150148,7.0,7.0,14.0,21.0,141.0
46,31.0,12.451612903225806,21.540409636583703,7.0,7.0,7.0,7.0,127.0
47,36.0,18.5,22.167543842293398,7.0,7.0,14.0,21.0,134.0
48,24.0,19.291666666666668,26.801166695348993,7.0,7.0,7.0,22.75,134.0
49,53.0,20.754716981132077,24.94833558528609,7.0,7.0,7.0,21.0,134.0
50,47.0,31.29787234042553,40.16104260599742,7.0,7.0,14.0,31.5,210.0
51,42.0,27.69047619047619,29.046210529244174,7.0,7.0,21.0,35.0,127.0
52,32.0,28.03125,30.405309781405382,7.0,7.0,14.0,35.0,148.0
53,37.0,48.648648648648646,73.03888470314068,7.0,14.0,21.0,49.0,427.0
54,50.0,26.48,25.97427298583845,7.0,7.0,17.5,33.25,127.0
55,50.0,39.22,35.41779213898009,7.0,7.0,28.0,56.0,148.0
56,31.0,30.29032258064516,32.5721696630596,7.0,7.0,21.0,38.5,148.0
57,40.0,41.675,41.91773842744614,7.0,14.0,31.5,57.75,217.0
58,36.0,18.305555555555557,24.003356246806632,7.0,7.0,14.0,21.0,141.0
59,47.0,47.234042553191486,51.591713509707304,7.0,14.0,35.0,49.0,231.0
60,41.0,26.146341463414632,34.63059411532652,7.0,7.0,14.0,28.0,175.0
61,22.0,20.727272727272727,27.294133013702726,7.0,7.0,10.5,21.0,127.0
62,45.0,37.355555555555554,26.0193595368347,7.0,14.0,35.0,49.0,134.0
63,52.0,34.21153846153846,36.98772267873863,7.0,7.0,21.0,43.75,175.0
64,37.0,24.62162162162162,27.095870279180666,7.0,7.0,14.0,35.0,127.0
65,49.0,27.73469387755102,27.826677480285653,7.0,7.0,14.0,35.0,141.0
66,39.0,38.97435897435897,35.39810222350403,7.0,14.0,28.0,56.0,147.0
67,27.0,37.111111111111114,56.266080322622386,7.0,7.0,7.0,45.5,252.0
68,37.0,30.10810810810811,34.898888699103765,7.0,7.0,14.0,35.0,155.0
69,22.0,20.09090909090909,26.848621656399516,7.0,7.0,10.5,19.25,127.0
70,47.0,33.829787234042556,36.71649265061196,7.0,7.0,21.0,42.0,161.0
71,27.0,24.925925925925927,29.15730008330929,7.0,7.0,14.0,21.0,134.0
72,25.0,27.2,34.117444218463966,7.0,7.0,14.0,35.0,162.0
73,41.0,37.926829268292686,32.659141326665676,7.0,14.0,28.0,42.0,155.0
