id,count,mean,std,min,25%,50%,75%,max
0,31.0,50.806451612903224,65.36585212215866,7.0,14.0,28.0,49.0,273.0
1,35.0,45.2,37.74745803673797,7.0,10.5,35.0,73.5,140.0
2,45.0,48.37777777777778,53.11834509713744,7.0,14.0,28.0,49.0,266.0
3,30.0,57.86666666666667,60.99504407981726,7.0,15.75,31.5,75.25,224.0
4,40.0,46.375,62.82400631311862,7.0,14.0,28.0,50.75,350.0
5,40.0,58.275,55.46770254518413,7.0,14.0,42.0,80.5,238.0
6,33.0,37.333333333333336,29.21329605961413,7.0,21.0,28.0,42.0,140.0
7,40.0,47.95,51.7206252564978,7.0,19.25,35.0,59.5,287.0
8,41.0,46.609756097560975,58.62076340716679,7.0,7.0,21.0,63.0,217.0
9,31.0,42.45161290322581,39.305503185243175,7.0,14.0,35.0,49.0,140.0
10,19.0,16.94736842105263,30.98292304589475,7.0,7.0,7.0,7.0,140.0
11,26.0,25.576923076923077,29.495997120861098,7.0,8.75,14.0,21.0,140.0
12,33.0,53.45454545454545,97.54296838736344,7.0,14.0,28.0,42.0,427.0
13,46.0,31.043478260869566,25.926354263772378,7.0,7.0,28.0,42.0,140.0
14,42.0,39.5,41.53708304988066,7.0,14.0,21.0,49.0,161.0
15,15.0,34.53333333333333,33.305655175460316,7.0,10.5,28.0,42.0,140.0
16,40.0,50.05,54.67289676819439,7.0,14.0,28.0,70.0,238.0
17,34.0,68.55882352941177,85.24196973694696,7.0,14.0,35.0,99.75,357.0
18,35.0,29.6,33.44547802020477,7.0,7.0,14.0,35.0,140.0
19,41.0,48.31707317073171,54.42032663646473,7.0,7.0,21.0,63.0,217.0
20,43.0,40.04651162790697,55.90253145659696,7.0,14.0,21.0,38.5,266.0
21,33.0,65.75757575757575,78.84598527470752,7.0,21.0,35.0,98.0,441.0
22,38.0,45.13157894736842,53.103759246292476,7.0,7.0,14.0,64.75,210.0
23,32.0,66.28125,101.76609308415502,7.0,19.25,35.0,56.0,490.0
24,44.0,60.77272727272727,59.96544106918221,7.0,26.25,49.0,71.75,315.0
25,16.0,21.0,37.99824557353492,7.0,7.0,7.0,7.0,140.0
26,38.0,63.18421052631579,64.72096250209607,7.0,8.75,42.0,96.25,273.0
27,30.0,58.333333333333336,69.08482209341037,7.0,7.0,35.0,75.25,294.0
28,42.0,54.5,58.76046870921665,7.0,14.0,28.0,73.5,294.0
29,43.0,33.2093023255814,32.04502646168719,7.0,10.5,21.0,42.0,140.0
30,35.0,48.8,53.6200138227597,7.0,7.0,28.0,56.0,224.0
31,9.0,37.333333333333336,42.290660907581,7.0,14.0,21.0,49.0,140.0
32,43.0,50.30232558139535,46.68972298652177,7.0,14.0,42.0,56.0,231.0
33,11.0,21.0,39.7215306855111,7.0,7.0,7.0,10.5,140.0
34,33.0,56.21212121212121,55.15929068148763,7.0,14.0,35.0,77.0,238.0
35,18.0,31.5,37.67703310412607,7.0,14.0,17.5,26.25,140.0
36,30.0,55.06666666666667,59.871087566844665,7.0,21.0,35.0,63.0,273.0
37,37.0,55.054054054054056,49.41937651139252,7.0,14.0,49.0,70.0,217.0
